X,Y,Z,lon,lat,lon_wsta,lat_wsta,h_wsta,north_wsta,east_wsta,azimuth_pyproj,azimuth_back_pyproj,distance_pyproj,dif_z,elevation_pyproj,zenith_view_pyproj,azimuth_pyproj_360,azimuth_pyproj_class360,euclidean_distance,azimuth_bearing,azimuth_bearing_360,azimuth_bearing_class360,elevation_manual,zenith_view_manual,distance_comparison,azimuth_comparison,elevation_comparison,azimuth_class_comparison,azimuth_hor
214277.5,494542.5,3.934206485748291,6.258896531765188,52.43545893398706,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-3.1083690667864063,176.8915677398301,99.9900881239499,-1.105793514251709,-0.6336099892087614,90.63360998920876,356.8916309332136,357.0,99.98384574328496,356.8993827827285,356.8993827827285,357.0,-0.6336495447212658,90.63364954472128,0.0062423806649434,360.0077518495149,3.95555125043412e-05,0.0,177.0
214279.5,494542.5,3.934613704681397,6.258925939049129,52.435458717586805,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-1.963421528875492,178.03653858778702,99.87753461817512,-1.105386295318603,-0.6340903788606037,90.6340903788606,358.0365784711245,358.0,99.871299064742,358.0414807365816,358.0414807365816,358.0,-0.6341299656248701,90.63412996562488,0.006235553433143,360.0049022654571,3.958676426640828e-05,0.0,178.0
214280.5,494542.5,3.932603359222412,6.258940642690916,52.43545860938364,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-1.390094156969451,178.60987761471588,99.83623783303008,-1.107396640777588,-0.6355062367061496,90.63550623670616,358.60990584303056,359.0,99.83000481072914,358.61337797701344,358.61337797701344,359.0,-0.6355459121489373,90.63554591214894,0.0062330223009325,360.0034721339829,3.967544278771218e-05,0.0,179.0
214282.5,494542.5,3.914275884628296,6.258970049973859,52.43545839296974,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-0.24230313529791,179.75769194643257,99.78366603383444,-1.125724115371704,-0.6463633487025471,90.64636334870256,359.7576968647021,0.0,99.77743646622883,359.75830231143067,359.75830231143067,0.0,-0.6464037007367477,90.64640370073674,0.0062295676055867,360.00060544672857,4.035203420060807e-05,0.0,-180.0
214284.5,494542.5,3.892536401748657,6.25899945725638,52.43545817654809,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,0.9062365227316772,-179.0937450854931,99.7711712287698,-1.1474635982513433,-0.6589270428879687,90.65892704288795,0.9062365227316772,1.0,99.76494271553744,0.9039724443401018,0.9039724443401018,1.0,-0.6589681773164935,90.6589681773165,0.0062285132323722,0.0022640783915752,4.113442852482496e-05,0.0,-179.0
214286.5,494542.5,3.8740346431732178,6.259028864538656,52.43545796011961,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,2.0546023502934494,-177.9453559478869,99.798768573072,-1.1659653568267825,-0.6693655209182663,90.66936552091826,2.0546023502934494,2.0,99.792538610342,2.0494728051004767,2.0494728051004767,2.0,-0.6694073050320349,90.66940730503204,0.0062299627300177,0.0051295451929727,4.178411376865032e-05,0.0,-178.0
214288.5,494542.5,3.8650300502777095,6.259058271820856,52.43545774368516,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,3.201872712547785,-176.79806227558822,99.86642492875802,-1.1749699497222903,-0.674077530913076,90.67407753091308,3.201872712547785,3.0,99.86019091489226,3.193888631498176,3.193888631498176,3.0,-0.674119607949503,90.6741196079495,0.0062340138657646,0.0079840810496092,4.207703642700178e-05,0.0,-177.0
214290.5,494542.5,3.864227056503296,6.259087679102947,52.43545752724458,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,4.347131233032654,-175.65278044505916,99.97405894809044,-1.175772943496704,-0.6738120100912082,90.6738120100912,4.347131233032654,4.0,99.9678183057971,4.336310341215684,4.336310341215684,4.0,-0.6738540699466878,90.67385406994669,0.0062406422933349,0.0108208918169694,4.205985547967028e-05,0.0,-176.0
214269.5,494541.5,3.914660930633545,6.258778725618241,52.43545081291309,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-7.732279617640204,172.26756380849088,99.8471714089666,-1.1253390693664551,-0.6457313550780891,90.64573135507808,352.2677203823598,352.0,99.8409388869644,352.2868085074647,352.2868085074647,352.0,-0.6457716611300227,90.64577166113004,0.0062325220022074,360.0190881251049,4.030605193361403e-05,0.0,172.0
214270.5,494541.5,3.912296772003173,6.25879342925786,52.43545070472816,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-7.163782761625966,172.8360723195257,99.70560479653936,-1.127703227996827,-0.6480065056679286,90.64800650566792,352.83621723837405,353.0,99.69938094823672,352.8539324212238,352.8539324212238,353.0,-0.648046954768075,90.64804695476808,0.0062238483026533,360.01771518284977,4.044910014633363e-05,0.0,173.0
214272.5,494541.5,3.913694858551025,6.258822836537015,52.435450488353645,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-6.022214874854157,173.97766351633857,99.45204053297572,-1.126305141448975,-0.6488531756197071,90.6488531756197,353.97778512514583,354.0,99.44583213349748,353.9927229342622,353.9927229342622,354.0,-0.6488936800349434,90.64889368003494,0.0062083994782398,360.0149378091164,4.050441523628656e-05,0.0,174.0
214274.5,494541.5,3.923185110092163,6.258852243816057,52.43545027197299,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-4.87526895870904,175.1246327425246,99.23814850932428,-1.116814889907837,-0.644772997714996,90.644772997715,355.12473104129094,355.0,99.23195299895036,355.1368546020532,355.1368546020532,355.0,-0.6448132504803132,90.64481325048033,0.0061955103739421,360.01212356076223,4.02527653172724e-05,0.0,175.0
214275.5,494541.5,3.9258713722229,6.258866947455399,52.43545016377965,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,-4.300055520806694,175.6998578354472,99.1461616049489,-1.1141286277771,-0.6438189885664074,90.6438189885664,355.6999444791933,356.0,99.1399716543078,355.71064907387915,355.71064907387915,356.0,-0.6438591829724638,90.64385918297246,0.0061899506410867,360.0107045946859,4.019440605640412e-05,0.0,176.0
214291.5,494541.5,3.83864951133728,6.259102205670133,52.43544843241922,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,4.961382141624306,-175.03851802181126,99.0455170497008,-1.2013504886627202,-0.6949222896977048,90.6949222896977,4.961382141624306,5.0,99.03933419462194,4.949046557259037,4.949046557259037,5.0,-0.6949656682447076,90.6949656682447,0.0061828550788618,0.0123355843652683,4.337854700287025e-05,0.0,-175.0
214292.5,494541.5,3.830836296081544,6.259116909307787,52.43544832419333,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,5.537837233023033,-174.46205127539386,99.1250213600495,-1.2091637039184562,-0.698880464678847,90.69888046467884,5.537837233023033,6.0,99.11883373680844,5.524085284981352,5.524085284981352,6.0,-0.6989240888809896,90.698924088881,0.0061876232410469,0.0137519480416816,4.362420214254481e-05,0.0,-174.0
214295.5,494541.5,3.8233084678649902,6.259161020220683,52.435447999507055,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,7.260858063980309,-172.73899547938078,99.42352654351426,-1.2166915321350098,-0.7011198718732011,90.7011198718732,7.260858063980309,7.0,99.41732068527232,7.242907932869897,7.242907932869897,7.0,-0.7011636330219172,90.70116363302192,0.0062058582419268,0.0179501311104122,4.376114871607051e-05,0.0,-173.0
214296.5,494541.5,3.8278770446777344,6.259175723858337,52.43544789127564,6.258976254721337,52.43456167553207,5.04,494442.73576863104,214284.12325818447,7.8327104190847425,-172.16713146925775,99.5429257690843,-1.2121229553222657,-0.6976497503986436,90.69764975039864,7.8327104190847425,8.0,99.5367125028215,7.813380512201274,7.813380512201274,8.0,-0.6976932946857246,90.69769329468572,0.0062132662628044,0.0193299068834686,4.3544287080976574e-05,0.0,-172.0
