azimuth_pyproj_class360_5,elevation_pyproj
-180,89.62295660727234
-175,89.55435259861358
-170,89.67891101216934
-165,89.60399866213574
-160,89.72205538187927
-155,89.69432131897898
-150,89.69261634927575
-145,89.76822228565653
-140,89.770784373462
-135,89.81203115339525
-130,89.75082255933343
-125,89.76153009643674
-120,89.7907846840794
-115,89.72830864934998
-110,89.65690646625869
-105,89.68203107634632
-100,89.62726205782283
-95,89.72435399163223
-90,89.69452124342085
-85,89.70683136088645
-80,89.70314459729454
-75,89.65333294025062
-70,89.6133099615758
-65,89.55476656073519
-60,89.76585290170412
-55,89.76259055185652
-50,89.76411871304657
-45,89.78224845187304
-40,89.77183077360559
-35,89.73231713652393
-30,89.77898502334246
-25,89.62984661885103
-20,89.67565918040594
-15,89.6231232256317
-10,89.59085360902093
-5,89.46705804719231
0,89.52420862381399
5,89.20636600807396
10,89.33371705444087
15,89.47888443791541
20,89.39708094930927
25,89.53689205224977
30,89.67292924925374
35,89.59858439966371
40,89.72966347527567
45,89.72822358889297
50,89.59040955549274
55,89.62853690791141
60,89.53952203654335
65,89.33413397751556
70,89.26703842927198
75,89.58928878384236
80,89.6586978107947
85,89.64794507419812
90,89.4513163865861
95,89.72413815044327
100,89.70014109377907
105,89.7473528407419
110,89.80923791943093
115,89.64029417214729
120,89.71209496845432
125,89.5896420323906
130,89.55030847820655
135,89.5449195374598
140,89.66387635397432
145,89.73907181434464
150,89.74292562146654
155,89.79600284808923
160,89.79095403883707
165,89.72502973413968
170,89.69822141251933
175,89.71168321605704
