DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
347,12,4.9916,7.364702,3.6692815,4.901161633,4.524,4.951556,8.616343
348,12,4.7863,7.779241,3.1989785,4.704180174,4.345,4.753372,8.627265
349,12,5.4219,8.262029,1.9490322,5.300293489,4.854,5.350416,8.637902
350,12,5.5396,8.201563,3.8219065,5.43072206,4.887,5.488872,8.648249
351,12,6.1436,8.40962,1.5423499,5.967668,5.064,6.042332,8.658296
352,12,5.4746,8.412328,1.542458,5.371344274,4.68,5.444644,8.668039
353,12,5.1981,7.924778,2.2497515,5.071021085,4.73,5.18582,8.677469
354,12,6.1986,7.926597,6.506586,6.054103904,5.121,6.127076,8.68658
355,12,5.4721,7.928022,1.542494,5.381329231,4.692,5.452744,8.695364
356,12,5.1521,7.929053,6.506398,5.071115254,4.596,5.117596,8.703815
357,12,4.7694,7.929689,2.2496262,4.725460231,4.401,4.761972,8.711926
358,12,5.2757,7.929931,1.5422777,5.238251473,4.768,5.278136,8.719689
359,12,5.3542,7.929777,2.623534,5.2763069,4.753,5.32524,8.727097
360,12,5.9405,8.419427,3.1468914,5.781290389,4.992,5.861028,8.734146
361,12,5.3808,8.418484,2.880978,5.2953009,4.803,5.343364,8.740824
362,12,5.8919,8.275961,3.3552546,5.707903589,4.931,5.846248,8.747128
363,12,5.464,8.274173,3.088216,5.3277541,4.72,5.443108,8.753048
364,12,5.9673,7.381002,4.2766,5.7141875,4.85,5.852052,8.758578
365,12,5.8081,6.888368,4.0430022,5.7256678,4.961,5.785296,8.76371
