DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
88,3,4.8998,5.751409,4.701374,4.6811327,3.612,4.813832,7.666209
89,3,4.6678,6.055443,4.0903198,4.510935166,3.62,4.617024,7.6312905
90,3,5.0373,5.719875,4.073386,4.7917448,3.498,4.929224,7.3880938
91,4,5.2882,5.306033,4.587236,4.9851383,3.31,5.161264,6.9707554
92,4,4.932,5.503786,3.9876943,4.7516548,3.46,4.839988,6.940675
93,4,4.2831,4.885875,4.5107305,4.1284776,3.363,4.211224,6.92635
94,4,4.8845,4.50404,3.919064,4.6205583,3.295,4.730532,7.3869263
95,4,4.8011,4.962245,4.4339062,4.5994074,3.395,4.687272,7.3543867
96,4,3.9131,5.252585,3.8501597,3.791869,3.124,3.85658,7.321686
97,4,4.014,5.335378,3.8327144,3.8942639,3.158,3.963896,7.2888345
98,4,4.0688,5.0733,3.7813855,3.88220576,3.058,3.96652,7.2558496
99,4,4.7325,5.036874,3.230935,4.5435439,3.212,4.622276,6.587533
100,4,4.6749,5.000494,4.241761,4.5265179,3.172,4.614184,6.5565337
101,4,5.5833,5.138477,3.678614,5.2256889,2.456,5.366416,6.525454
102,4,4.989,5.066436,4.1651865,4.6925571,2.907,4.833792,6.4943066
103,4,3.9444,5.029886,3.610489,3.8294951,3.055,3.880392,5.8425825
104,4,3.8466,4.993418,3.593287,3.585223,2.789,3.703908,5.8133696
105,4,4.4715,5.303303,3.5921477,4.2281243,2.923,4.349044,5.7841416
106,4,4.2895,4.856146,3.0217031,4.1181829,2.941,4.190744,6.180873
107,4,4.7485,4.862907,3.976067,4.4855409,2.751,4.600508,6.1495513
108,4,5.2065,4.748274,3.442722,4.8180833,2.436,5.014916,6.118248
109,4,4.9609,4.834205,3.4261267,4.5805065,2.35,4.777976,6.086979
110,4,4.6786,4.798682,3.4254126,4.5027363,2.704,4.581088,6.0557593
111,4,4.3168,4.852935,2.87691,4.1500976,2.747,4.230532,6.024605
112,4,3.9034,5.07656,3.7917974,3.7796899,2.69,3.852184,5.9935303
113,4,4.2863,5.03916,3.2800347,4.135909,2.659,4.215464,5.9625522
114,4,4.5095,5.00201,3.0290454,4.1978734,2.494,4.352584,5.9316855
115,4,4.9939,4.965126,3.264493,4.659472,1.966,4.780912,5.9009478
116,4,3.9237,4.790263,3.1856082,3.7745593,2.652,3.823044,5.8703545
117,4,3.5665,4.754507,3.1707737,3.441662,2.718,3.487744,5.8399214
118,4,3.853,4.609646,3.124258,3.704925,2.723,3.745276,5.809665
119,4,3.6536,4.034003,2.6579194,3.5057737,2.663,3.535884,6.109015
120,4,4.1396,3.715926,3.5125642,3.89255098,2.613,3.984652,6.07693
121,5,4.3942,3.722214,3.0348777,4.2166129,2.464,4.254712,5.7547876
122,5,4.2968,3.674527,2.580857,4.0998805,2.333,4.140292,5.723718
123,5,4.8228,4.552915,3.4142163,4.450450114,2.057,4.583504,5.692908
124,5,4.6745,4.519537,2.950444,4.321675982,2.162,4.453492,5.662377
125,5,4.3966,4.421003,2.508415,4.15080305,2.198,4.217052,5.63214
126,5,4.4854,4.684652,2.941095,4.223958983,2.164,4.279044,5.6022163
127,5,3.6378,4.651703,2.8682922,3.4730457,2.571,3.510144,5.582777
128,5,3.6336,4.146425,2.438054,3.469275,2.518,3.507296,5.5529087
