,global,direct,diffuse,resolution,doy
135,5756.0034,2345.124,3410.8796,1m,136
136,5736.846,2330.419,3406.427,1m,137
137,5718.115,2316.066,3402.0493,1m,138
138,5699.824,2302.0718,3397.7524,1m,139
139,5681.983,2288.4421,3393.541,1m,140
140,5972.458,2369.5251,3602.9329,1m,141
141,5953.9946,2355.6726,3598.3223,1m,142
142,5631.275,2249.8008,3381.474,1m,143
143,5615.345,2237.6873,3377.6575,1m,144
144,5599.9185,2225.966,3373.9521,1m,145
145,5585.004,2214.6418,3370.362,1m,146
146,5570.612,2203.72,3366.8918,1m,147
147,5556.7505,2193.2039,3363.5464,1m,148
148,5543.4272,2183.0989,3360.3286,1m,149
149,5530.652,2173.408,3357.244,1m,150
150,5518.4307,2164.136,3354.295,1m,151
151,5314.114,2085.321,3228.7925,1m,152
152,5303.0596,2077.042,3226.0178,1m,153
153,5292.5786,2069.1846,3223.3943,1m,154
154,5282.677,2061.751,3220.9255,1m,155
155,5273.3594,2054.7444,3218.6145,1m,156
156,5264.6304,2048.1675,3216.4631,1m,157
157,5256.4966,2042.0225,3214.4736,1m,158
158,5248.9604,2036.3116,3212.6492,1m,159
159,5242.0273,2031.0371,3210.9905,1m,160
160,5235.7,2026.2003,3209.4998,1m,161
161,5229.9814,2021.8036,3208.1775,1m,162
162,5224.8745,2017.8473,3207.0269,1m,163
163,5220.38,2014.3337,3206.0464,1m,164
164,5216.5015,2011.2632,3205.2383,1m,165
165,4692.2036,1760.4998,2931.7039,1m,166
166,4689.734,1758.4783,2931.2556,1m,167
167,4687.8345,1756.8596,2930.9746,1m,168
168,4686.506,1755.6442,2930.8616,1m,169
169,4685.746,1754.8318,2930.9143,1m,170
170,4685.5566,1754.4224,2931.134,1m,171
171,4685.9336,1754.4153,2931.5183,1m,172
172,4686.877,1754.81,2932.0667,1m,173
173,4688.3833,1755.6062,2932.7769,1m,174
174,4690.451,1756.8022,2933.649,1m,175
175,4693.0776,1758.3975,2934.68,1m,176
176,4696.259,1760.3906,2935.8682,1m,177
177,4699.9907,1762.7797,2937.211,1m,178
178,4704.27,1765.5631,2938.7068,1m,179
179,4709.092,1768.739,2940.3528,1m,180
180,4714.4507,1772.305,2942.1458,1m,181
181,4635.365,1745.9691,2889.3958,1m,182
182,4641.762,1750.2604,2891.502,1m,183
183,4648.679,1754.9305,2893.7488,1m,184
184,4656.11,1759.9766,2896.1333,1m,185
185,4664.048,1765.3958,2898.652,1m,186
186,4672.4854,1771.184,2901.301,1m,187
187,4681.415,1777.3383,2904.077,1m,188
188,4690.83,1783.8547,2906.9758,1m,189
189,4700.722,1790.729,2909.9932,1m,190
190,4711.0835,1797.9574,2913.1257,1m,191
191,4721.905,1805.5356,2916.3691,1m,192
192,4733.1777,1813.4587,2919.719,1m,193
193,4744.8936,1821.7227,2923.1711,1m,194
194,4757.043,1830.3215,2926.7214,1m,195
195,4769.6167,1839.251,2930.3655,1m,196
196,4782.6035,1848.5055,2934.0981,1m,197
197,4912.1934,1858.0798,3054.1133,1m,198
198,4926.7046,1867.9679,3058.7366,1m,199
199,4941.6025,1878.1643,3063.4385,1m,200
200,4956.876,1888.6633,3068.2126,1m,201
201,4972.513,1899.4586,3073.0547,1m,202
202,4988.503,1910.5441,3077.959,1m,203
203,5541.867,2187.2854,3354.5815,1m,204
204,5559.8403,2200.0825,3359.7576,1m,205
205,5578.154,2213.1719,3364.9817,1m,206
206,5596.793,2226.5461,3370.2468,1m,207
207,5615.7446,2240.1963,3375.5486,1m,208
208,5634.9976,2254.1155,3380.8816,1m,209
209,5654.5366,2268.2957,3386.241,1m,210
210,5674.3516,2282.7292,3391.6223,1m,211
211,5694.427,2297.4067,3397.0198,1m,212
212,5929.124,2388.8442,3540.2795,1m,213
213,5950.3394,2404.438,3545.9014,1m,214
214,5956.27,2417.0767,3539.1934,1m,215
215,5977.287,2432.8994,3544.3877,1m,216
216,5998.499,2448.9253,3549.5737,1m,217
217,6019.8936,2465.146,3554.7473,1m,218
218,6059.8394,2485.708,3574.1313,1m,219
219,6082.212,2502.537,3579.675,1m,220
220,6104.7163,2519.537,3585.1794,1m,221
221,6127.3403,2536.698,3590.6423,1m,222
222,6150.0776,2554.0134,3596.0642,1m,223
223,6172.915,2571.4727,3601.4424,1m,224
224,6195.8438,2589.0674,3606.776,1m,225
225,6218.8516,2606.7888,3612.0627,1m,226
226,6241.928,2624.6284,3617.2996,1m,227
227,6242.57,2636.0815,3606.4883,1m,228
228,6265.234,2653.8494,3611.3848,1m,229
229,6287.9355,2671.7034,3616.2324,1m,230
230,6310.663,2689.6357,3621.0276,1m,231
231,6333.406,2707.6367,3625.769,1m,232
232,6356.1523,2725.698,3630.4543,1m,233
233,6378.893,2743.8108,3635.0818,1m,234
234,6401.6147,2761.9666,3639.6482,1m,235
235,6424.309,2780.156,3644.1533,1m,236
236,6446.9673,2798.3716,3648.5952,1m,237
237,6229.505,2770.1255,3459.3796,1m,238
238,6250.8267,2787.7537,3463.073,1m,239
239,6272.0977,2805.386,3466.7112,1m,240
240,5873.368,2648.9753,3224.3926,1m,241
241,5891.9775,2664.6274,3227.3496,1m,242
242,5910.4995,2680.2466,3230.2532,1m,243
243,6323.9907,2861.743,3462.248,1m,244
244,7658.4116,3594.2002,4064.2114,1m,245
245,7680.248,3613.619,4066.6294,1m,246
246,7701.943,3632.9622,4068.9807,1m,247
247,7723.4897,3652.2234,4071.266,1m,248
248,8032.486,3731.2578,4301.2285,1m,249
249,8054.8037,3750.9604,4303.8438,1m,250
250,8076.9404,3770.5564,4306.3843,1m,251
251,8098.892,3790.0403,4308.852,1m,252
252,8120.6523,3809.4062,4311.246,1m,253
253,8142.217,3828.6472,4313.5693,1m,254
254,8163.581,3847.759,4315.8223,1m,255
255,8184.741,3866.735,4318.006,1m,256
256,7655.6235,3620.796,4034.8276,1m,257
257,7674.069,3637.4382,4036.6306,1m,258
258,7692.314,3653.94,4038.3745,1m,259
259,7711.8633,3670.2988,4041.5645,1m,260
260,7729.8125,3686.5107,4043.302,1m,261
261,7747.5596,3702.5745,4044.9849,1m,262
262,7765.1016,3718.487,4046.6143,1m,263
263,7782.439,3734.2463,4048.1924,1m,264
264,7799.5703,3749.8496,4049.7207,1m,265
265,7816.495,3765.2966,4051.1985,1m,266
266,7833.216,3780.5852,4052.6304,1m,267
267,7849.7305,3795.7146,4054.016,1m,268
268,7866.041,3810.6833,4055.358,1m,269
269,7882.148,3825.4912,4056.6567,1m,270
270,7898.0503,3840.1367,4057.9138,1m,271
271,7913.7534,3854.6208,4059.1326,1m,272
272,7452.9434,3535.9973,3916.946,1m,273
273,8530.8125,4107.206,4423.6064,1m,274
274,8545.674,4120.88,4424.794,1m,275
275,8560.362,4134.3975,4425.965,1m,276
276,8574.881,4147.7593,4427.1206,1m,277
277,8589.232,4160.9683,4428.264,1m,278
278,8603.42,4174.0244,4429.3955,1m,279
279,8617.448,4186.93,4430.5176,1m,280
280,8631.319,4199.6885,4431.631,1m,281
281,8645.036,4212.298,4432.738,1m,282
282,8658.604,4224.765,4433.8384,1m,283
283,8672.025,4237.0903,4434.9355,1m,284
284,8685.305,4249.275,4436.0293,1m,285
285,8699.897,4261.3223,4438.5747,1m,286
286,8712.941,4273.2344,4439.707,1m,287
287,8725.8545,4285.0156,4440.839,1m,288
288,8033.5044,3900.0408,4133.464,1m,289
289,8045.101,3910.444,4134.6567,1m,290
290,8058.1245,3920.753,4137.372,1m,291
291,8069.624,3930.9712,4138.6523,1m,292
292,8081.0396,3941.102,4139.937,1m,293
293,8092.376,3951.1472,4141.228,1m,294
294,8121.9883,3965.2224,4156.7656,1m,295
295,8133.886,3975.4448,4158.4414,1m,296
296,8145.855,3985.6367,4160.218,1m,297
297,8136.993,3990.5432,4146.45,1m,298
298,8147.9834,4000.2097,4147.7734,1m,299
299,8158.9146,4009.8105,4149.1035,1m,300
300,8169.7896,4019.3472,4150.442,1m,301
301,8180.612,4028.823,4151.7886,1m,302
302,7455.006,3609.6628,3845.3425,1m,303
303,7465.1206,3618.354,3846.7666,1m,304
304,7789.3755,3765.0264,4024.349,1m,305
305,7799.3145,3773.8699,4025.445,1m,306
306,7809.241,3782.6912,4026.5503,1m,307
307,7819.1577,3791.4937,4027.6638,1m,308
308,7829.065,3800.2786,4028.7861,1m,309
309,8627.189,4275.898,4351.292,1m,310
310,8637.481,4285.118,4352.3633,1m,311
311,8647.755,4294.31,4353.4443,1m,312
312,8658.009,4303.477,4354.5317,1m,313
313,9497.166,4796.4175,4700.7485,1m,314
314,9508.745,4806.689,4702.0566,1m,315
315,9520.309,4816.941,4703.3677,1m,316
316,9488.05,4808.876,4679.1733,1m,317
317,8715.794,4355.689,4360.104,1m,318
318,8725.97,4364.743,4361.2266,1m,319
319,8736.135,4373.781,4362.354,1m,320
320,8746.288,4382.8037,4363.484,1m,321
321,8756.427,4391.81,4364.6167,1m,322
322,8766.551,4400.8003,4365.751,1m,323
323,8776.66,4409.775,4366.8853,1m,324
324,8786.753,4418.732,4368.0205,1m,325
325,8796.826,4427.6714,4369.155,1m,326
326,8806.88,4436.5933,4370.287,1m,327
327,8816.912,4445.4937,4371.4175,1m,328
328,8826.917,4454.373,4372.544,1m,329
329,8895.286,4493.3926,4401.8936,1m,330
330,8906.408,4503.2207,4403.1875,1m,331
331,9109.449,4513.0283,4596.421,1m,332
332,9121.748,4522.814,4598.934,1m,333
333,9133.996,4532.5737,4601.4224,1m,334
334,9146.188,4542.3027,4603.8857,1m,335
335,9159.718,4551.9976,4607.719,1m,336
336,9171.829,4561.654,4610.1763,1m,337
337,9183.867,4571.2666,4612.6006,1m,338
338,9195.823,4580.832,4614.992,1m,339
339,9207.693,4590.344,4617.349,1m,340
340,9219.469,4599.7993,4619.6694,1m,341
341,9231.143,4609.19,4621.953,1m,342
342,9242.71,4618.512,4624.1978,1m,343
343,9254.162,4627.7583,4626.403,1m,344
344,9265.491,4636.925,4628.5664,1m,345
345,8483.763,4172.4453,4311.317,1m,346
346,8516.39,4188.049,4328.3413,1m,347
347,8528.234,4197.458,4330.7764,1m,348
348,8539.913,4206.7676,4333.146,1m,349
349,8551.426,4215.972,4335.4546,1m,350
350,8562.769,4225.062,4337.7065,1m,351
351,8573.934,4234.0317,4339.902,1m,352
352,8584.913,4242.87,4342.0425,1m,353
353,8595.697,4251.5693,4344.1284,1m,354
354,8606.279,4260.1206,4346.1597,1m,355
355,8616.647,4268.5127,4348.1353,1m,356
356,8626.795,4276.738,4350.0566,1m,357
357,8636.709,4284.7856,4351.923,1m,358
358,8646.382,4292.6475,4353.7334,1m,359
359,8655.802,4300.3135,4355.489,1m,360
360,8664.963,4307.774,4357.1885,1m,361
361,8673.852,4315.0195,4358.8325,1m,362
362,8682.459,4322.039,4360.42,1m,363
363,8690.774,4328.8237,4361.95,1m,364
364,8698.789,4335.3643,4363.4243,1m,365
