WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
2499.221287,1543.129248,1036.1351,2017.91052,4128.4776,93
1588.22435,1130.0791,895.3037,1533.34195,4620.5583,94
2873.40804,1169.4899,1038.47547,3163.54798,4599.4074,95
1756.89449,1647.52134,878.06051,1507.63526,3791.869,96
5457.7865,3240.6542,1265.8637,4438.8012,3894.2639,97
5480.5165,3394.3245,1286.0465,4563.2817,3882.20576,98
5022.8792,3103.8641,1277.4424,3857.3428,4543.5439,99
5812.7004,3860.1985,1394.9108,4814.567,4526.5179,100
2844.7451,1675.1735,1181.8769,3431.0097,5225.6889,101
4363.7799,2942.6068,1268.0006,3181.3294,4692.5571,102
4451.9535,2531.9877,1334.8271,4404.1561,3829.4951,103
3517.7694,2032.9839,1294.025,3967.2338,3585.223,104
5170.57389,3147.699,1314.29356,4375.59191,4228.1243,105
5497.06322,3354.35018,1381.26678,4637.89231,4118.1829,106
4284.99783,2494.56592,1283.93703,4162.12432,4485.5409,107
5367.37104,3633.78255,1415.74559,4609.50072,4818.0833,108
5506.46863,3954.35835,1428.83904,4673.6128,4580.5065,109
5533.66648,4017.95953,1467.35392,4742.77896,4502.7363,110
5578.43393,4084.91142,1515.2061,4879.86163,4150.0976,111
5459.193,4040.72835,1493.04712,4767.41045,3779.6899,112
5309.86186,3499.41039,1470.01565,4739.42526,4135.909,113
4809.59441,2779.36386,1390.08239,4231.94695,4197.8734,114
3072.10878,1705.53475,1356.48122,3184.57506,4659.472,115
2793.58127,2457.11768,1313.10013,2219.2476,3774.5593,116
2648.95443,2630.0719,1068.75375,1426.09741,3441.662,117
3387.12773,3087.93379,1496.62738,3519.68475,3704.925,118
2875.13126,1538.67656,1407.76908,3361.08386,3505.7737,119
3153.57213,3486.41111,1393.07154,2035.24225,3892.55098,120
4761.65643,3697.86624,1689.35487,4242.2063,4216.6129,121
3585.25756,2263.9753,1565.28668,4773.99815,4099.8805,122
2249.84339,2674.21457,1274.92137,2160.4512,4450.450114,123
3849.45392,3104.64643,1680.64842,4315.40359,4321.675982,124
2552.52191,1921.98594,1231.01889,2038.44567,4150.80305,125
