GroundSurface,WallSurface_UUID_0aaf7b44-4fab-42b0-aaa7-380113caeea0,WallSurface_UUID_2ae98dca-a3b6-4890-a768-3bde754de4cb,WallSurface_UUID_1642fc1e-bbb4-49e9-b47d-881a3cf30be4,WallSurface_UUID_6e4f3933-7da7-446f-b8c2-6627879112b9,RoofSurface,doy
5671.54,7562.05,7562.05,7562.05,7562.05,4614.184,100
3226.782,4302.372,4302.372,4302.372,4302.372,5366.416,101
4514.138,6018.849,6018.849,6018.849,6018.849,4833.792,102
4737.899,6317.197,6317.197,6317.197,6317.197,3880.392,103
3959.294,5279.056,5279.056,5279.056,5279.056,3703.908,104
5449.512,7266.015,7266.015,7266.015,7266.015,4349.044,105
5864.569,7819.424,7819.424,7819.424,7819.424,4190.744,106
4760.943,6347.921,6347.921,6347.921,6347.921,4600.508,107
5919.469,7892.625,7892.625,7892.625,7892.625,5014.916,108
6137.996,8183.993,8183.993,8183.993,8183.993,4777.976,109
6263.015,8350.686,8350.686,8350.686,8350.686,4581.088,110
6380.555,8507.403,8507.403,8507.403,8507.403,4230.532,111
6333.868,8445.154,8445.154,8445.154,8445.154,3852.184,112
6156.509,8208.677,8208.677,8208.677,8208.677,4215.464,113
5549.68,7399.57,7399.57,7399.57,7399.57,4352.584,114
3859.103,5145.469,5145.469,5145.469,5145.469,4780.912,115
3522.889,4697.185,4697.185,4697.185,4697.185,3823.044,116
3228.77,4305.024,4305.024,4305.024,4305.024,3487.744,117
4416.026,5888.032,5888.032,5888.032,5888.032,3745.276,118
3797.515,5063.351,5063.351,5063.351,5063.351,3535.884,119
4095.728,5460.968,5460.968,5460.968,5460.968,3984.652,120
6067.41,8089.877,8089.877,8089.877,8089.877,4254.712,121
4701.715,6268.952,6268.952,6268.952,6268.952,4140.292,122
3159.553,4212.734,4212.734,4212.734,4212.734,4583.504,123
5227.407,6969.872,6969.872,6969.872,6969.872,4453.492,124
3284.797,4379.727,4379.727,4379.727,4379.727,4217.052,125
1829.901,2439.864,2439.864,2439.864,2439.864,4279.044,126
2945.906,3927.871,3927.871,3927.871,3927.871,3510.144,127
4245.439,5660.582,5660.582,5660.582,5660.582,3507.296,128
4739.92,6319.891,6319.891,6319.891,6319.891,3597.48,129
5396.819,7195.757,7195.757,7195.757,7195.757,3590.316,130
6331.298,8441.729,8441.729,8441.729,8441.729,3891.32,131
7394.178,9858.9,9858.9,9858.9,9858.9,3650.876,132
6186.778,8249.04,8249.04,8249.04,8249.04,3151.008,133
4603.504,6138.004,6138.004,6138.004,6138.004,3219.048,134
3014.888,4019.847,4019.847,4019.847,4019.847,3245.94,135
3704.13,4938.834,4938.834,4938.834,4938.834,3611.484,136
2509.713,3346.277,3346.277,3346.277,3346.277,3145.152,137
5760.119,7680.155,7680.155,7680.155,7680.155,2954.98,138
5368.563,7158.08,7158.08,7158.08,7158.08,2954.096,139
5426.682,7235.576,7235.576,7235.576,7235.576,3701.548,140
5286.934,7049.24,7049.24,7049.24,7049.24,3810.392,141
5747.5,7663.33,7663.33,7663.33,7663.33,3507.864,142
5468.734,7291.644,7291.644,7291.644,7291.644,3121.728,143
7538.494,10051.323,10051.323,10051.323,10051.323,3120.724,144
7245.133,9660.174,9660.174,9660.174,9660.174,3742.988,145
5010.496,6680.658,6680.658,6680.658,6680.658,3760.248,146
4547.435,6063.24,6063.24,6063.24,6063.24,3090.86,147
5930.721,7907.626,7907.626,7907.626,7907.626,2956.716,148
7636.811,10182.411,10182.411,10182.411,10182.411,3235.444,149
6281.271,8375.03,8375.03,8375.03,8375.03,2922.1,150
6067.371,8089.826,8089.826,8089.826,8089.826,3215.088,151
4378.122,5837.494,5837.494,5837.494,5837.494,2949.744,152
3653.997,4871.992,4871.992,4871.992,4871.992,2494.872,153
6699.783,8933.044,8933.044,8933.044,8933.044,3050.8,154
3617.288,4823.051,4823.051,4823.051,4823.051,3311.896,155
3959.966,5279.953,5279.953,5279.953,5279.953,2873.184,156
4666.718,6222.285,6222.285,6222.285,6222.285,3033.752,157
5462.383,7283.175,7283.175,7283.175,7283.175,3097.14,158
6081.64,8108.849,8108.849,8108.849,8108.849,3525.048,159
6724.531,8966.038,8966.038,8966.038,8966.038,3135.876,160
7431.89,9909.185,9909.185,9909.185,9909.185,3049.78,161
6018.434,8024.574,8024.574,8024.574,8024.574,3160.428,162
5364.733,7152.977,7152.977,7152.977,7152.977,3311.348,163
4690.902,6254.533,6254.533,6254.533,6254.533,3419.824,164
5955.137,7940.183,7940.183,7940.183,7940.183,3335.18,165
5240.162,6986.879,6986.879,6986.879,6986.879,2993.156,166
6211.814,8282.417,8282.417,8282.417,8282.417,3063.78,167
6085.554,8114.07,8114.07,8114.07,8114.07,3453.596,168
5883.476,7844.629,7844.629,7844.629,7844.629,3645.084,169
5291.541,7055.385,7055.385,7055.385,7055.385,3217.9,170
4072.173,5429.563,5429.563,5429.563,5429.563,3124.16,171
5758.348,7677.795,7677.795,7677.795,7677.795,2827.304,172
3745.373,4993.826,4993.826,4993.826,4993.826,3070.144,173
5876.193,7834.922,7834.922,7834.922,7834.922,3357.512,174
5041.994,6722.654,6722.654,6722.654,6722.654,3398.724,175
7484.254,9979.001,9979.001,9979.001,9979.001,2813.856,176
6328.258,8437.674,8437.674,8437.674,8437.674,3243.784,177
6435.793,8581.054,8581.054,8581.054,8581.054,3194.972,178
5981.134,7974.843,7974.843,7974.843,7974.843,3536.02,179
4123.193,5497.589,5497.589,5497.589,5497.589,3522.576,180
4138.806,5518.404,5518.404,5518.404,5518.404,3548.364,181
7326.554,9768.736,9768.736,9768.736,9768.736,3380.228,182
6764.222,9018.96,9018.96,9018.96,9018.96,3107.884,183
7030.317,9373.757,9373.757,9373.757,9373.757,3230.836,184
6922.971,9230.628,9230.628,9230.628,9230.628,3218.776,185
3786.493,5048.657,5048.657,5048.657,5048.657,3540.328,186
5307.3,7076.399,7076.399,7076.399,7076.399,3881.44,187
5267.859,7023.813,7023.813,7023.813,7023.813,3475.192,188
3570.049,4760.061,4760.061,4760.061,4760.061,3534.384,189
5826.188,7768.248,7768.248,7768.248,7768.248,3881.028,190
6350.427,8467.233,8467.233,8467.233,8467.233,3466.62,191
7146.839,9529.116,9529.116,9529.116,9529.116,3322.944,192
2564.62,3419.493,3419.493,3419.493,3419.493,3762.032,193
1251.386,1668.509,1668.509,1668.509,1668.509,3890.136,194
3027.13,4036.172,4036.172,4036.172,4036.172,3684.828,195
2201.134,2934.84,2934.84,2934.84,2934.84,3450.684,196
6464.396,8619.192,8619.192,8619.192,8619.192,2814.884,197
6641.478,8855.303,8855.303,8855.303,8855.303,3530,198
6308.367,8411.155,8411.155,8411.155,8411.155,3432.804,199
3077.644,4103.523,4103.523,4103.523,4103.523,3628.236,200
3578.441,4771.252,4771.252,4771.252,4771.252,4153.676,201
6669.175,8892.233,8892.233,8892.233,8892.233,4103.128,202
4654.264,6205.682,6205.682,6205.682,6205.682,3570.636,203
5788.818,7718.425,7718.425,7718.425,7718.425,3452.456,204
3585.53,4780.701,4780.701,4780.701,4780.701,3394.456,205
2886.201,3848.262,3848.262,3848.262,3848.262,3552.712,206
3698.874,4931.828,4931.828,4931.828,4931.828,4011.464,207
3510.269,4680.357,4680.357,4680.357,4680.357,4035.136,208
3834.303,5112.405,5112.405,5112.405,5112.405,3950.732,209
5214.972,6953.295,6953.295,6953.295,6953.295,3680.44,210
5417.354,7223.136,7223.136,7223.136,7223.136,3438.984,211
4846.676,6462.23,6462.23,6462.23,6462.23,3408.116,212
6473.922,8631.891,8631.891,8631.891,8631.891,3691.86,213
6640.772,8854.359,8854.359,8854.359,8854.359,3383.628,214
5324.082,7098.77,7098.77,7098.77,7098.77,3111.64,215
5407.378,7209.833,7209.833,7209.833,7209.833,3833.404,216
5261.419,7015.221,7015.221,7015.221,7015.221,3527.164,217
4324.384,5765.842,5765.842,5765.842,5765.842,4177.064,218
1647.452,2196.598,2196.598,2196.598,2196.598,4448.804,219
5331.677,7108.899,7108.899,7108.899,7108.899,4089.028,220
4670.76,6227.677,6227.677,6227.677,6227.677,3874.032,221
4207.373,5609.825,5609.825,5609.825,5609.825,3934.104,222
4393.612,5858.146,5858.146,5858.146,5858.146,4285.548,223
3908.048,5210.726,5210.726,5210.726,5210.726,4827.396,224
4754.467,6339.286,6339.286,6339.286,6339.286,4240.58,225
5100.79,6801.052,6801.052,6801.052,6801.052,3481.336,226
3033.589,4044.782,4044.782,4044.782,4044.782,3699.072,227
4273.954,5698.603,5698.603,5698.603,5698.603,3979.364,228
4335.501,5780.666,5780.666,5780.666,5780.666,3956.052,229
3268.401,4357.866,4357.866,4357.866,4357.866,3652.236,230
3450.232,4600.308,4600.308,4600.308,4600.308,3726.284,231
3388.237,4517.646,4517.646,4517.646,4517.646,3384.916,232
4220.961,5627.948,5627.948,5627.948,5627.948,3458.476,233
3452.068,4602.754,4602.754,4602.754,4602.754,3853.34,234
4758.502,6344.668,6344.668,6344.668,6344.668,4435.028,235
4238.586,5651.444,5651.444,5651.444,5651.444,4699.644,236
4038.488,5384.645,5384.645,5384.645,5384.645,4590.66,237
5282.622,7043.495,7043.495,7043.495,7043.495,4638.712,238
3998.865,5331.819,5331.819,5331.819,5331.819,4497.24,239
3975.988,5301.317,5301.317,5301.317,5301.317,4766.888,240
4321.256,5761.674,5761.674,5761.674,5761.674,4840.792,241
3626.974,4835.962,4835.962,4835.962,4835.962,5006.08,242
3292.167,4389.554,4389.554,4389.554,4389.554,4524.196,243
3182.882,4243.837,4243.837,4243.837,4243.837,4976.1,244
4085.984,5447.978,5447.978,5447.978,5447.978,4940.3,245
2437.797,3250.394,3250.394,3250.394,3250.394,4926.904,246
1841.576,2455.43,2455.43,2455.43,2455.43,3650.648,247
3655.483,4873.975,4873.975,4873.975,4873.975,4090.916,248
3079.298,4105.729,4105.729,4105.729,4105.729,4177.64,249
3632.941,4843.916,4843.916,4843.916,4843.916,4948.364,250
3462.051,4616.067,4616.067,4616.067,4616.067,4767.652,251
4122.289,5496.382,5496.382,5496.382,5496.382,5006.212,252
3534.138,4712.18,4712.18,4712.18,4712.18,5403.98,253
1491.641,1988.851,1988.851,1988.851,1988.851,5194.016,254
3355.806,4474.407,4474.407,4474.407,4474.407,5496.224,255
3735.687,4980.913,4980.913,4980.913,4980.913,4910.424,256
4372.056,5829.408,5829.408,5829.408,5829.408,4295.672,257
3384.259,4512.345,4512.345,4512.345,4512.345,4643.06,258
1140.224,1520.299,1520.299,1520.299,1520.299,4708.136,259
2908.29,3877.717,3877.717,3877.717,3877.717,4520.664,260
2842.047,3789.394,3789.394,3789.394,3789.394,4537.06,261
3264.894,4353.194,4353.194,4353.194,4353.194,4866.552,262
3733.909,4978.546,4978.546,4978.546,4978.546,3374.86,263
4125.231,5500.305,5500.305,5500.305,5500.305,3559.196,264
3837.474,5116.63,5116.63,5116.63,5116.63,4472.024,265
1714.762,2286.346,2286.346,2286.346,2286.346,5081.052,266
1884.758,2513.012,2513.012,2513.012,2513.012,3489.972,267
2599.761,3466.342,3466.342,3466.342,3466.342,3647.808,268
786.884,1049.178,1049.178,1049.178,1049.178,3936.572,269
2835.113,3780.146,3780.146,3780.146,3780.146,5168.092,270
2260.337,3013.78,3013.78,3013.78,3013.78,4289.052,271
623.175,830.898,830.898,830.898,830.898,4351.008,272
2629.145,3505.525,3505.525,3505.525,3505.525,4015.664,273
2080.705,2774.271,2774.271,2774.271,2774.271,4779.068,274
1770.527,2360.702,2360.702,2360.702,2360.702,4605.724,275
415.651,554.203,554.203,554.203,554.203,4234.596,276
