WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
1746,1427,1225,1810,2466,203
1757,1539,1323,1811,2502,204
1562,1217,1160,1803,2452,205
1304,878,976,1682,2475,206
1485,1080,1085,1694,2523,207
1567,1239,1092,1672,2415,208
1454,1187,1023,1534,2408,209
1876,1467,1306,2027,2518,210
1635,1374,1210,1796,2448,211
2040,1593,1404,2162,2496,212
1550,1338,1238,1847,2619,213
1468,1301,1178,1744,2540,214
1571,1319,1178,1818,2576,215
1506,1294,1129,1759,2598,216
1593,1342,1110,1785,2597,217
1876,1457,1238,2015,2389,218
841,747,758,999,2364,219
1825,1405,1272,2076,2535,220
1639,1252,1154,2001,2591,221
1572,1218,1079,1885,2596,222
1512,1174,1042,1856,2404,223
1828,1332,1238,2094,2287,224
1780,1327,1205,2105,2468,225
1556,1237,1082,1933,2542,226
1505,1181,1094,1950,2724,227
1628,1207,1120,2045,2569,228
1593,1259,1055,1967,2679,229
1238,967,775,1075,2709,230
1545,1112,975,1718,2557,231
1606,1138,978,1815,2686,232
1869,1341,1193,2341,2600,233
1867,1314,1159,2243,2611,234
1611,1219,1107,1995,2325,235
2019,1401,1253,2435,2179,236
1623,1197,1053,1879,2339,237
1542,1241,1042,2176,2529,238
1558,1133,926,2118,2389,239
1464,1110,940,1886,2312,240
1900,1344,1188,2244,2316,241
1607,1114,971,1988,2359,242
1341,1025,809,1258,2665,243
1555,1218,904,1249,2433,244
1487,1253,931,1790,2422,245
1552,1141,835,1462,3018,246
1110,763,696,1385,3017,247
1444,1193,860,1619,3017,248
1743,1203,944,1821,2909,249
1626,1244,897,1683,2855,250
1509,1208,832,1594,2851,251
1425,1229,866,1630,2687,252
1556,1160,868,1597,2540,253
913,678,639,1003,2880,254
1587,1236,850,1524,2749,255
1630,1370,890,1508,3261,256
1448,1360,881,1504,3258,257
1395,1029,771,1374,3167,258
911,697,466,624,3323,259
1462,1126,759,1291,3277,260
1433,1134,736,1233,3289,261
1706,1347,861,1408,3513,262
1417,1308,806,1209,3137,263
1315,1383,798,1121,3130,264
1400,1333,791,1146,3412,265
1264,1045,633,926,3470,266
1368,804,638,1085,3212,267
1483,1094,717,1178,3268,268
549,367,367,600,3340,269
1363,1056,675,1054,3565,270
1250,898,586,947,3655,271
500,298,276,416,3700,272
1416,1083,662,1068,3576,273
1352,688,622,1214,3864,274
1066,607,610,1130,3707,275
220,213,212,219,3671,276
1319,837,618,1114,3459,277
943,445,409,799,3898,278
1162,758,513,937,4028,279
1402,868,632,1118,3767,280
1488,881,655,1298,3775,281
1345,824,602,1044,3783,282
1558,768,631,1366,4142,283
1237,642,526,1136,4192,284
1314,684,523,1009,4240,285
1212,586,476,943,4152,286
1132,559,433,866,4204,287
1312,560,450,972,3858,288
1150,565,452,878,4005,289
1158,541,458,1030,3662,290
1438,688,565,1076,4126,291
312,254,197,224,4179,292
779,421,324,493,4469,293
960,447,363,782,4363,294
645,294,250,537,4170,295
1236,515,427,940,4121,296
1482,496,433,1157,3993,297
541,308,243,344,3986,298
931,423,355,849,4541,299
1237,494,404,970,4425,300
1399,472,402,1082,4551,301
1372,497,420,1027,4577,302
242,200,185,222,4502,303
608,287,289,720,4469,304
1152,587,432,740,4427,305
993,436,334,653,4610,306
809,404,301,530,4666,307
1296,504,384,852,4181,308
1187,512,382,802,4161,309
1172,486,362,782,3620,310
1061,539,405,679,4378,311
370,235,210,319,4262,312
908,414,319,554,4662,313
620,339,234,398,4821,314
791,398,285,516,4505,315
976,478,354,615,4041,316
943,490,330,616,4505,317
456,210,193,362,4209,318
339,250,208,253,4825,319
149,103,98,125,4726,320
751,419,278,464,4866,321
542,283,209,359,5038,322
672,459,274,415,4615,323
95,89,88,94,4857,324
