azimuth_pyproj_class360_5,elevation_pyproj
-180,89.83543703068663
-175,89.82037202760927
-170,89.82522194284641
-165,89.8242338907986
-160,89.837780897448
-155,89.8542461791453
-150,89.8655817917117
-145,89.93293481013039
-140,90.0931672940435
-135,90.19356182466386
-130,90.29168699171143
-125,90.37028264787355
-120,90.17071188030795
-115,88.13476052548559
-110,90.35674011076621
-105,90.40710119364684
-100,90.36332676783717
-95,90.33635796890458
-90,90.15354342085841
-85,90.38197016472094
-80,90.37137080858896
-75,90.36128706229435
-70,90.35846205129413
-65,90.12671899816134
-60,89.8781945322552
-55,90.33400058786049
-50,90.31382760412652
-45,90.31392918335365
-40,90.34136935306118
-35,85.88857556229846
-30,85.1981448642801
-25,84.66198522560383
-20,85.81843971322905
-15,85.81199899361994
-10,85.08350125218126
-5,84.92380346320236
0,85.85302304469758
5,86.17210522423915
10,86.75726147912218
15,89.83713446979046
20,89.70952334448262
25,89.5252733337066
30,90.37313276354874
35,90.45071471889733
40,90.43120092307966
45,90.40567220165123
50,90.39218005343454
55,90.39023160839638
60,90.41760669310898
65,90.44678596122009
70,90.39101434502982
75,89.98254979468044
80,89.85599932561351
85,89.87457220802676
90,90.44280325320997
95,90.20795521500649
100,90.46146148722084
105,90.00779106005295
110,89.98084407517746
115,85.89889932722829
120,85.29364716212311
125,85.28415404092028
130,85.35219446883396
135,86.5450175277091
140,87.0501116914588
145,88.12481715205286
150,88.85864783856614
155,89.99957218694188
160,80.94364714193475
165,89.89178114295224
170,89.87055558435449
175,89.860378792928
