X,Y,Z
334443.41000000003,7400716.2,
334444.41000000003,7400716.2,
334445.41000000003,7400716.2,
334446.41000000003,7400716.2,
334447.41000000003,7400716.2,
334448.41000000003,7400716.2,
334449.41000000003,7400716.2,
334450.41000000003,7400716.2,
334451.41000000003,7400716.2,
334452.41000000003,7400716.2,
334453.41000000003,7400716.2,
334454.41000000003,7400716.2,
334455.41000000003,7400716.2,
334456.41000000003,7400716.2,
334457.41000000003,7400716.2,
334458.41000000003,7400716.2,
334459.41000000003,7400716.2,
334460.41000000003,7400716.2,
334461.41000000003,7400716.2,
334462.41000000003,7400716.2,
334463.41000000003,7400716.2,
334464.41000000003,7400716.2,
334465.41000000003,7400716.2,
334466.41000000003,7400716.2,
334467.41000000003,7400716.2,
334468.41000000003,7400716.2,
334469.41000000003,7400716.2,
334470.41000000003,7400716.2,
334471.41000000003,7400716.2,
334472.41000000003,7400716.2,
334473.41000000003,7400716.2,
334474.41000000003,7400716.2,
334475.41000000003,7400716.2,
334476.41000000003,7400716.2,
334477.41000000003,7400716.2,
334478.41000000003,7400716.2,
334479.41000000003,7400716.2,
334480.41000000003,7400716.2,
334481.41000000003,7400716.2,
334482.41000000003,7400716.2,
334483.41000000003,7400716.2,
334484.41000000003,7400716.2,
334485.41000000003,7400716.2,
334486.41000000003,7400716.2,
334487.41000000003,7400716.2,
334488.41000000003,7400716.2,
334489.41000000003,7400716.2,
334490.41000000003,7400716.2,
334491.41000000003,7400716.2,
334492.41000000003,7400716.2,
334493.41000000003,7400716.2,
334494.41000000003,7400716.2,
334495.41000000003,7400716.2,
334496.41000000003,7400716.2,
334497.41000000003,7400716.2,
334498.41000000003,7400716.2,
334499.41000000003,7400716.2,
334500.41000000003,7400716.2,
334501.41000000003,7400716.2,
334502.41000000003,7400716.2,
334503.41000000003,7400716.2,
334504.41000000003,7400716.2,
334505.41000000003,7400716.2,
334506.41000000003,7400716.2,
334507.41000000003,7400716.2,
334508.41000000003,7400716.2,
334509.41000000003,7400716.2,
334510.41000000003,7400716.2,
334511.41000000003,7400716.2,
334512.41000000003,7400716.2,
334513.41000000003,7400716.2,
334514.41000000003,7400716.2,
334515.41000000003,7400716.2,
334516.41000000003,7400716.2,
334517.41000000003,7400716.2,
334518.41000000003,7400716.2,
334519.41000000003,7400716.2,
334520.41000000003,7400716.2,
334521.41000000003,7400716.2,
334522.41000000003,7400716.2,
334523.41000000003,7400716.2,
334524.41000000003,7400716.2,
334525.41000000003,7400716.2,
334526.41000000003,7400716.2,
334527.41000000003,7400716.2,
334528.41000000003,7400716.2,
334529.41000000003,7400716.2,
334530.41000000003,7400716.2,
334531.41000000003,7400716.2,
334532.41000000003,7400716.2,
334533.41000000003,7400716.2,
334534.41000000003,7400716.2,
334535.41000000003,7400716.2,
334536.41000000003,7400716.2,
334537.41000000003,7400716.2,
334538.41000000003,7400716.2,
334539.41000000003,7400716.2,
334540.41000000003,7400716.2,
334541.41000000003,7400716.2,
334542.41000000003,7400716.2,
334543.41000000003,7400716.2,
334544.41000000003,7400716.2,
334545.41000000003,7400716.2,
334546.41000000003,7400716.2,
334547.41000000003,7400716.2,
334548.41000000003,7400716.2,
334549.41000000003,7400716.2,
334550.41000000003,7400716.2,
334551.41000000003,7400716.2,
334552.41000000003,7400716.2,
334553.41000000003,7400716.2,
334554.41000000003,7400716.2,
334555.41000000003,7400716.2,
334556.41000000003,7400716.2,
334557.41000000003,7400716.2,
334558.41000000003,7400716.2,
334559.41000000003,7400716.2,
334560.41000000003,7400716.2,
334561.41000000003,7400716.2,
334562.41000000003,7400716.2,
334563.41000000003,7400716.2,
334564.41000000003,7400716.2,
334565.41000000003,7400716.2,
334566.41000000003,7400716.2,
334567.41000000003,7400716.2,
334568.41000000003,7400716.2,
334569.41000000003,7400716.2,
334570.41000000003,7400716.2,
334571.41000000003,7400716.2,
334572.41000000003,7400716.2,
334573.41000000003,7400716.2,
334574.41000000003,7400716.2,
334575.41000000003,7400716.2,
334576.41000000003,7400716.2,
334577.41000000003,7400716.2,
334578.41000000003,7400716.2,
334579.41000000003,7400716.2,
334580.41000000003,7400716.2,
334581.41000000003,7400716.2,
334582.41000000003,7400716.2,
334583.41000000003,7400716.2,
334584.41000000003,7400716.2,
334585.41000000003,7400716.2,
334586.41000000003,7400716.2,
334587.41000000003,7400716.2,
334588.41000000003,7400716.2,
334589.41000000003,7400716.2,
334590.41000000003,7400716.2,
334591.41000000003,7400716.2,
334592.41000000003,7400716.2,
334593.41000000003,7400716.2,
334594.41000000003,7400716.2,
334595.41000000003,7400716.2,
334596.41000000003,7400716.2,
334597.41000000003,7400716.2,
334598.41000000003,7400716.2,
334599.41000000003,7400716.2,
334600.41000000003,7400716.2,
334601.41000000003,7400716.2,
334602.41000000003,7400716.2,
334603.41000000003,7400716.2,
334604.41000000003,7400716.2,
334605.41000000003,7400716.2,
334606.41000000003,7400716.2,
334607.41000000003,7400716.2,
334608.41000000003,7400716.2,
334609.41000000003,7400716.2,
334610.41000000003,7400716.2,
334611.41000000003,7400716.2,
334612.41000000003,7400716.2,
334613.41000000003,7400716.2,
334614.41000000003,7400716.2,
334615.41000000003,7400716.2,
334616.41000000003,7400716.2,
334617.41000000003,7400716.2,
334618.41000000003,7400716.2,
334619.41000000003,7400716.2,
334620.41000000003,7400716.2,
334621.41000000003,7400716.2,
334622.41000000003,7400716.2,
334623.41000000003,7400716.2,
334624.41000000003,7400716.2,
334625.41000000003,7400716.2,
334626.41000000003,7400716.2,
334627.41000000003,7400716.2,
334628.41000000003,7400716.2,
334629.41000000003,7400716.2,
334630.41000000003,7400716.2,
334631.41000000003,7400716.2,
334632.41000000003,7400716.2,
334633.41000000003,7400716.2,
334634.41000000003,7400716.2,
334635.41000000003,7400716.2,
334636.41000000003,7400716.2,
334637.41000000003,7400716.2,
334638.41000000003,7400716.2,
334639.41000000003,7400716.2,
334640.41000000003,7400716.2,
334641.41000000003,7400716.2,
334642.41000000003,7400716.2,
334643.41000000003,7400716.2,
334644.41000000003,7400716.2,
334645.41000000003,7400716.2,
334646.41000000003,7400716.2,
334647.41000000003,7400716.2,
334648.41000000003,7400716.2,
334649.41000000003,7400716.2,
334650.41000000003,7400716.2,
334651.41000000003,7400716.2,
334652.41000000003,7400716.2,
334653.41000000003,7400716.2,
334654.41000000003,7400716.2,
334655.41000000003,7400716.2,
334656.41000000003,7400716.2,
334657.41000000003,7400716.2,
334658.41000000003,7400716.2,
334659.41000000003,7400716.2,
334660.41000000003,7400716.2,
334661.41000000003,7400716.2,
334662.41000000003,7400716.2,
334663.41000000003,7400716.2,
334664.41000000003,7400716.2,
334665.41000000003,7400716.2,
334666.41000000003,7400716.2,
334667.41000000003,7400716.2,
334668.41000000003,7400716.2,
334669.41000000003,7400716.2,
334670.41000000003,7400716.2,
334671.41000000003,7400716.2,
334672.41000000003,7400716.2,
334673.41000000003,7400716.2,
334674.41000000003,7400716.2,
334675.41000000003,7400716.2,
334676.41000000003,7400716.2,
334677.41000000003,7400716.2,
334678.41000000003,7400716.2,
334679.41000000003,7400716.2,
334680.41000000003,7400716.2,
334681.41000000003,7400716.2,
334682.41000000003,7400716.2,
334683.41000000003,7400716.2,
334684.41000000003,7400716.2,
334685.41000000003,7400716.2,
334686.41000000003,7400716.2,
334687.41000000003,7400716.2,
334688.41000000003,7400716.2,
334689.41000000003,7400716.2,
334690.41000000003,7400716.2,
334691.41000000003,7400716.2,
334443.41000000003,7400715.2,778.1689453125
334444.41000000003,7400715.2,775.510986328125
334445.41000000003,7400715.2,772.0902099609375
334446.41000000003,7400715.2,774.258056640625
334447.41000000003,7400715.2,786.4208374023436
334448.41000000003,7400715.2,783.9139404296875
334449.41000000003,7400715.2,786.8587646484375
334450.41000000003,7400715.2,787.1325073242188
334451.41000000003,7400715.2,780.9130249023436
334452.41000000003,7400715.2,782.2469482421875
334453.41000000003,7400715.2,781.1751708984375
334454.41000000003,7400715.2,764.9097900390625
334455.41000000003,7400715.2,772.4442749023436
334456.41000000003,7400715.2,770.748046875
334457.41000000003,7400715.2,765.1754150390625
334458.41000000003,7400715.2,771.4028930664062
334459.41000000003,7400715.2,765.8392944335938
334460.41000000003,7400715.2,773.1875
334461.41000000003,7400715.2,774.2099609375
334462.41000000003,7400715.2,774.4627685546875
334463.41000000003,7400715.2,772.67138671875
334464.41000000003,7400715.2,772.8382568359375
334465.41000000003,7400715.2,772.9261474609375
334466.41000000003,7400715.2,772.3134155273436
334467.41000000003,7400715.2,770.4415893554686
334468.41000000003,7400715.2,769.5556640625
334469.41000000003,7400715.2,769.9498901367188
334470.41000000003,7400715.2,768.9149780273436
334471.41000000003,7400715.2,768.2724609375
334472.41000000003,7400715.2,768.3746337890625
334473.41000000003,7400715.2,768.6356201171875
334474.41000000003,7400715.2,768.7210083007811
334475.41000000003,7400715.2,769.0263671875
334476.41000000003,7400715.2,768.860595703125
334477.41000000003,7400715.2,770.9302368164062
334478.41000000003,7400715.2,771.96923828125
334479.41000000003,7400715.2,771.2863159179686
334480.41000000003,7400715.2,769.3921508789062
