azimuth_pyproj_class360_5,elevation_pyproj
-180,89.83962648527488
-175,89.82403417017282
-170,89.82898187578301
-165,89.83049743903466
-160,89.84117198285061
-155,89.85866434453511
-150,89.86928257926301
-145,89.93923978145699
-140,90.09956788344218
-135,90.229884680556
-130,90.29654636341762
-125,90.37443674505386
-120,90.19721093190266
-115,88.52674282080363
-110,90.36313715112404
-105,90.41164868017646
-100,90.42357213880521
-95,90.42397216782936
-90,90.38051789367614
-85,90.38830103413866
-80,90.37495845959444
-75,90.36491778029522
-70,90.36840451039657
-65,90.13795031500398
-60,89.9972572069294
-55,90.33737816385884
-50,90.31616892443361
-45,90.31591537557085
-40,90.3457026174026
-35,86.38961927496806
-30,86.20341810517262
-25,85.78734946949626
-20,86.65449595018416
-15,86.41382632505731
-10,85.78847624273723
-5,86.38405798499964
0,86.4740588971721
5,86.72575973168186
10,87.25422100007567
15,90.04302391321289
20,89.94916089991086
25,89.69785466678347
30,90.46573808398576
35,90.45665101219626
40,90.43978450254312
45,90.40998353974001
50,90.39561726136813
55,90.39447193322792
60,90.41755085663631
65,90.44955670913694
70,90.39553852452448
75,90.27352845703297
80,90.039569606564
85,90.10935133940767
90,90.45225324258429
95,90.27482292774936
100,90.490740439208
105,90.21191584021972
110,90.22767548596056
115,86.46451892977541
120,86.18849341514618
125,86.05577648197898
130,86.25281678749175
135,87.09432452321089
140,87.44736689635042
145,88.35364153471023
150,88.95187979359069
155,90.0073485660974
160,89.9439138172885
165,89.89423639946479
170,89.87399137837208
175,89.86259567551647
