azimuth_pyproj_class360_5,elevation_pyproj
-180,90.64636334870255
-175,90.65892704288797
-170,90.69764975039864
-165,90.71495157237482
-160,90.7477199030151
-155,90.76807852537898
-150,90.83355143416998
-145,90.8482777678826
-140,90.88220163165106
-135,90.89790631507549
-130,90.87678797047104
-125,90.85963786764535
-120,90.84040384906379
-115,90.82848319287451
-110,90.86336487694986
-105,90.85623830184025
-100,90.78717340781792
-95,90.79945305221587
-90,90.8932277700267
-85,90.81273821816505
-80,90.78669587501723
-75,90.76753954571718
-70,90.7336791387752
-65,90.72853955332074
-60,90.74191490177489
-55,90.76346394565077
-50,90.77639212514532
-45,90.7885893556601
-40,90.84089237025654
-35,90.89167433989655
-30,90.87377268251424
-25,90.85671725860566
-20,90.83042922658835
-15,90.8046692663171
-10,90.80135029436686
-5,90.7909428851704
0,90.63360998920876
5,90.80991681236442
10,90.82213626046797
15,90.84464930387549
20,90.8463550940476
25,90.85584979783077
30,90.87694201423473
35,90.89626268951734
40,90.91009828744588
45,90.87713127831103
50,90.87765375089818
55,90.86528106287578
60,90.86253123493321
65,90.88064359382022
70,90.87339772990988
75,90.84698114371417
80,90.83696711144432
85,90.88958475799177
90,90.93484096580299
95,90.94483157754263
100,90.90332993290093
105,90.9122889201167
110,90.89697153133505
115,90.89440063395506
120,90.89340504142531
125,90.90177687136509
130,90.78715447455819
135,90.73092777286088
140,90.72013467363847
145,90.70001630564943
150,90.68145724934726
155,90.67359799787945
160,90.6593353923049
165,90.65845076773515
170,90.66623560571985
175,90.644772997715
