azimuth_pyproj_class360_5,elevation_pyproj
-180,87.71072690035236
-175,87.84755367741602
-170,86.94246947551432
-165,88.66927636983756
-160,88.84249385446392
-155,88.61618438159853
-150,89.23548467603445
-145,87.24391059212985
-140,86.06679120673417
-135,86.36788745104938
-130,88.04570703647299
-125,88.03691838717147
-120,88.6246022205948
-115,87.48293486284398
-110,87.40379687976755
-105,87.3559281055244
-100,89.5785945249738
-95,90.19362462924762
-90,90.2346955259031
-85,90.23708373126816
-80,90.23444989976598
-75,90.23180322845313
-70,90.2252519633377
-65,90.13795031500398
-60,89.9972572069294
-55,88.13150413448993
-50,87.64220124572839
-45,87.77849256848627
-40,87.63506722869539
-35,86.38961927496806
-30,86.20341810517262
-25,85.78734946949626
-20,86.65449595018416
-15,86.41382632505731
-10,85.78847624273723
-5,86.38405798499964
0,86.4740588971721
5,86.72575973168186
10,87.25422100007567
15,88.18475618425526
20,89.7672272752651
25,89.69785466678347
30,89.94575423000349
35,90.03017237119658
40,89.90073342473364
45,89.95813935497831
50,90.05558008346112
55,90.27868099541807
60,90.29861776720053
65,90.39906666140703
70,90.36921154257745
75,90.18716158459596
80,90.039569606564
85,90.10935133940767
90,90.39460602518425
95,90.27482292774936
100,90.398586904162
105,89.4249195721925
110,89.6866527697212
115,86.46451892977541
120,86.18849341514618
125,86.05577648197898
130,86.25281678749175
135,87.09432452321089
140,87.02963068831669
145,86.40827579155247
150,87.52874557017118
155,86.88447827941151
160,87.44369338725058
165,88.84123914087465
170,87.94014037899272
175,87.97283087389907
