,G_Bn
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0.197
680,7.854
681,31.049
682,48.542
683,60.107
684,50.413
685,44.653
686,21.764
687,3.171
688,0.057
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0.228
704,14.351
705,33.299
706,59.003
707,72.577
708,72.739
709,51.705
710,31.936
711,7.445
712,0.111
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0.32
728,19.181
729,45.052
730,71.548
731,90.784
732,73.931
733,61.406
734,34.473
735,5.12
736,0.013
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0.135
752,6.861
753,28.325
754,28.612
755,39.172
756,29.588
757,26.455
758,16.994
759,3.881
760,0.016
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0.191
776,7.466
777,31.632
778,53.876
779,68.952
780,64.123
781,55.692
782,24.074
783,5.411
784,0.016
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,1.221
800,21.238
801,59.08
802,66.298
803,57.566
804,59.955
805,58.624
806,24.262
807,6.097
808,0.028
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0.125
824,10.84
825,28.181
826,42.097
827,53.607
828,50.918
829,37.365
830,23.411
831,7.82
832,0.103
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0.443
848,13.665
849,27.423
850,55.482
851,70.802
852,74.867
853,45.637
854,27.739
855,6.285
856,0.026
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,2.16
872,28.499
873,63.988
874,87.876
875,88.658
876,76.781
877,67.303
878,29.662
879,8.16
880,0.078
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,1.756
896,25.324
897,63.287
898,85.679
899,95.532
900,73.506
901,64.382
902,38.311
903,9.659
904,0.079
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,1.81
920,34.614
921,58.487
922,92.516
923,84.262
924,84.396
925,63.718
926,44.128
927,11.836
928,0.044
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,1.929
944,21.463
945,44.231
946,60.561
947,63.712
948,76.122
949,49.004
950,27.747
951,8.458
952,0.177
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,1.524
968,19.191
969,47.91
970,72.925
971,73.641
972,73.636
973,58.382
974,37.072
975,12.515
976,0.126
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,2.221
992,25.611
993,58.608
994,86.923
995,101.058
996,94.423
997,76.223
998,48.325
999,15.165
1000,0.494
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,4.05
1016,33.589
1017,64.201
1018,97.063
1019,96.354
1020,96.599
1021,84.225
1022,41.762
1023,14.759
1024,1.109
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1.994
1040,19.774
1041,43.512
1042,77.791
1043,96.19
1044,122.814
1045,81.413
1046,52.074
1047,22.809
1048,1.098
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0.001
1063,5.611
1064,38.1
1065,78.213
1066,114.463
1067,114.083
1068,113.26
1069,95.165
1070,68.299
1071,30.66
1072,1.002
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,4.91
1088,31.363
1089,74.232
1090,105.89
1091,131.667
1092,120.548
1093,87.952
1094,47.376
1095,22.007
1096,1.35
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0.001
1111,8.779
1112,48.699
1113,78.394
1114,133.413
1115,129.08
1116,141.61
1117,95.339
1118,58.313
1119,23.365
1120,1.888
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0.001
1135,5.194
1136,48.45
1137,98.148
1138,101.39
1139,118.872
1140,100.806
1141,75.672
1142,59.56
1143,26.837
1144,2.665
1145,0
1146,0
