,G_Dh
639,19.449
640,0.288
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0.011
650,0.034
651,0.034
652,0.034
653,0.034
654,0.006
655,4.178
656,30.125
657,56.572
658,77.055
659,86.752
660,85.812
661,79.753
662,56.678
663,22.877
664,0.624
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,3.747
680,32.322
681,63.147
682,84.64
683,99.001
684,91.374
685,69.941
686,51.91
687,20.371
688,0.609
689,0.006
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,4.336
704,31.822
705,71.125
706,99.613
707,107.018
708,101.704
709,86.604
710,59.987
711,27.256
712,1.313
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0.006
727,5.945
728,36.405
729,65.458
730,88.45
731,94.366
732,98.919
733,85.684
734,55.985
735,25.979
736,1.52
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,5.469
752,32.998
753,58.458
754,86.871
755,98.231
756,91.298
757,81.421
758,50.488
759,23.333
760,1.3
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0.006
771,0.006
772,0.006
773,0.019
774,0.025
775,5.361
776,32.858
777,64.957
778,83.184
779,92.284
780,92.804
781,76.36
782,53.737
783,25.595
784,1.559
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,8.677
800,44.707
801,74.917
802,99.97
803,113.467
804,110.224
805,97.582
806,69.021
807,29.956
808,2.318
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,6.363
824,32.28
825,66.371
826,93.764
827,95.104
828,89.353
829,81.8
830,55.469
831,27.755
832,2.292
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,7.351
848,39.955
849,72.908
850,102.779
851,110.091
852,101.639
853,94.998
854,64.001
855,32.381
856,3.155
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0.005
871,9.556
872,38.36
873,67.412
874,86.401
875,95.786
876,93.173
877,86.135
878,67.833
879,32.94
880,3.124
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0.011
895,11.494
896,47.696
897,82.811
898,98.596
899,101.343
900,105.486
901,89.842
902,69.493
903,36.921
904,5.115
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0.025
919,12.653
920,46.084
921,81.659
922,102.974
923,120.608
924,112.982
925,98.773
926,72.199
927,38.84
928,4.697
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0.064
943,12.57
944,50.668
945,79.606
946,110.643
947,120.157
948,106.466
949,99.088
950,65.978
951,34.496
952,4.52
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0.034
967,11.425
968,48.64
969,81.459
970,104.402
971,119.395
972,112.704
973,91.933
974,59.913
975,33.5
976,4.662
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0.049
991,14.562
992,47.495
993,80.35
994,108.211
995,123.978
996,107.761
997,93.347
998,71.468
999,37.575
1000,5.915
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0.079
1015,16.088
1016,53.587
1017,85.517
1018,106.762
1019,115.437
1020,110.683
1021,94.189
1022,65.804
1023,36.695
1024,7.052
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0.098
1039,15.302
1040,51.212
1041,92.004
1042,120.397
1043,130.947
1044,125.052
1045,109.053
1046,75.72
1047,43.773
1048,8.473
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0.243
1063,20.47
1064,60.101
1065,92.805
1066,110.007
1067,126.242
1068,114.272
1069,105.596
1070,78.464
1071,44.822
1072,9.922
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0.166
1087,21.431
1088,60.882
1089,94.369
1090,113.878
1091,110.497
1092,117.399
1093,100.238
1094,79.536
1095,47.22
1096,10.477
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0.238
1111,22.88
1112,65.178
1113,107.543
1114,112.854
1115,123.993
1116,122.258
1117,104.716
1118,82.47
1119,52.458
1120,11.532
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0.439
1135,21.545
1136,59.218
1137,96.775
1138,125.742
1139,131.764
1140,134.53
1141,116.327
1142,90.581
1143,59.701
1144,14.985
