,G_Dh
2477,30.296
2478,84.937
2479,129.754
2480,177.879
2481,219.684
2482,254.023
2483,254.054
2484,250.263
2485,237.491
2486,184.357
2487,142.746
2488,95.494
2489,44.951
2490,4.875
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,1.414
2501,30.92
2502,83.176
2503,137.896
2504,186.616
2505,223.265
2506,234.649
2507,258.525
2508,248.571
2509,234.061
2510,188.012
2511,154.105
2512,102.001
2513,50.053
2514,5.392
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,1.56
2525,35.359
2526,86.694
2527,124.495
2528,154.938
2529,177.381
2530,189.774
2531,210.735
2532,218.988
2533,200.558
2534,172.732
2535,130.253
2536,94.26
2537,45.62
2538,5.404
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,2.213
2549,38.944
2550,89.418
2551,128.755
2552,177.153
2553,203.45
2554,230.311
2555,243.74
2556,230.874
2557,218.254
2558,181.738
2559,150.956
2560,101.603
2561,51.759
2562,7.691
2563,0
2564,0
2565,0
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,3.282
2573,41.717
2574,100.22
2575,141.291
2576,187.728
2577,203.686
2578,224.056
2579,234.582
2580,239.191
2581,219.61
2582,190.94
2583,140.28
2584,93.419
2585,49.737
2586,6.641
2587,0
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,3.4
2597,42.715
2598,91.241
2599,127.764
2600,165.204
2601,204.26
2602,228.125
2603,241.956
2604,229.579
2605,209.899
2606,187.922
2607,152.299
2608,98.145
2609,53.082
2610,8.129
2611,0
2612,0
2613,0
2614,0
2615,0
2616,0
2617,0
2618,0
2619,0
2620,4.799
2621,48.973
2622,109.824
2623,140.779
2624,173.958
2625,211.417
2626,234.377
2627,238.164
2628,221.804
2629,199.475
2630,184.606
2631,145.722
2632,102.258
2633,50.51
2634,8.887
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,5.638
2645,49.577
2646,97.68
2647,137.044
2648,169.08
2649,202.002
2650,229.249
2651,226.655
2652,235.319
2653,213.163
2654,179.091
2655,142.623
2656,105.507
2657,58.544
2658,9.933
2659,0
2660,0
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,0
2668,6.923
2669,50.482
2670,99.974
2671,140.767
2672,169.322
2673,192.764
2674,218.958
2675,216.968
2676,207.078
2677,195.227
2678,176.118
2679,144.817
2680,104.817
2681,62.215
2682,10.586
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,7.257
2693,54.631
2694,100.591
2695,143.472
2696,177.881
2697,214.896
2698,240.189
2699,228.844
2700,227.688
2701,219.337
2702,197.439
2703,158.581
2704,103.887
2705,56.668
2706,10.964
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,7.214
2717,51.733
2718,100.659
2719,137.144
2720,174.513
2721,192.659
2722,225.992
2723,233.245
2724,225.909
2725,219.103
2726,193.741
2727,155.184
2728,104.49
2729,55.981
2730,10.797
2731,0
2732,0
2733,0
2734,0
2735,0
2736,0
2737,0
2738,0
2739,0
2740,8.146
2741,52.428
2742,104.207
2743,147.277
2744,189.655
2745,209.606
2746,236.76
2747,253.319
2748,251.453
2749,236.017
2750,202.702
2751,165.513
2752,102.761
2753,56.008
2754,11.513
2755,0
2756,0
2757,0
2758,0
2759,0
2760,0
2761,0
2762,0
2763,0
2764,8.894
2765,54.244
2766,107.191
2767,160.071
2768,194.958
2769,221.339
2770,222.347
2771,233.873
2772,229.325
2773,233.085
2774,188.77
2775,154.613
2776,104.576
2777,59.69
2778,12.654
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,0
2786,0
2787,0
2788,7.537
2789,50.791
2790,101.397
2791,150.541
2792,188.965
2793,205.823
2794,236.47
2795,245.315
2796,226.609
2797,217.315
2798,184.421
2799,138.875
2800,100.551
2801,56.139
2802,12.662
2803,0.005
2804,0
2805,0
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,9.689
2813,51.138
2814,102.449
2815,150.632
2816,194.364
2817,214.072
2818,242.683
2819,267.226
2820,255.922
2821,233.43
2822,196.128
2823,170.804
2824,115.066
2825,62.171
2826,14.32
2827,0.014
2828,0
2829,0
2830,0
2831,0
2832,0
2833,0
2834,0
2835,0
2836,9.909
2837,54.342
2838,96.947
2839,145.342
2840,173.865
2841,203.162
2842,233.311
2843,236.193
2844,230.006
2845,221.446
2846,197.683
2847,152.578
2848,103.831
2849,55.284
2850,14.388
2851,0.042
2852,0
2853,0
2854,0
2855,0
2856,0
2857,0
2858,0
2859,0.011
2860,10.255
2861,49.827
2862,98.556
2863,147.894
2864,180.544
2865,203.183
2866,221.93
2867,248.091
2868,265.846
2869,227.552
2870,185.58
2871,152.696
2872,107.991
2873,60.766
2874,15.55
2875,0.03
2876,0
2877,0
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0.011
2884,12.654
2885,58.51
2886,112.429
2887,150.712
2888,199.378
2889,214.545
2890,235.359
2891,232.694
2892,236.423
2893,218.556
2894,188.869
2895,154.723
2896,110.696
2897,64.003
2898,19.3
2899,0.011
2900,0
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,0.02
2908,14.375
2909,60.349
2910,108.528
2911,146.446
2912,205.693
2913,225.336
2914,248.779
2915,251.062
2916,246.843
2917,231.037
2918,191.465
2919,153.436
2920,112.256
2921,67.163
2922,20.2
2923,0.158
2924,0
2925,0
2926,0
2927,0
2928,0
2929,0
2930,0
2931,0.019
2932,16.151
2933,59.381
2934,102.993
2935,139.333
2936,161.388
2937,189.057
2938,219.239
2939,233.664
2940,235.949
2941,215.459
2942,180.815
2943,150.664
2944,112.207
2945,69.918
2946,20.841
2947,0.129
2948,0
2949,0
2950,0
2951,0
2952,0
2953,0
2954,0
2955,0.025
2956,17.524
2957,62.52
2958,103.866
2959,139.686
2960,178.831
2961,192.04
2962,219.956
2963,230.631
2964,227.518
2965,220.253
2966,181.141
2967,145.174
2968,114.517
2969,64.904
2970,20.411
2971,0.104
2972,0
2973,0
2974,0
2975,0
2976,0
2977,0
2978,0
2979,0.039
2980,18.762
2981,66.851
2982,112.81
2983,169.492
2984,195.506
2985,227.08
2986,243.67
2987,252.256
2988,244.243
2989,217.317
2990,194.784
2991,161.496
2992,109.444
2993,69.995
2994,24.623
2995,0.21
2996,0
2997,0
2998,0
2999,0
3000,0
3001,0
3002,0
3003,0.054
3004,19.867
3005,68.814
3006,113.905
3007,149.805
3008,185.753
3009,230.803
3010,247.901
3011,243.698
3012,220.175
3013,199.512
3014,185.58
3015,154.557
3016,114.314
3017,70.974
3018,24.31
3019,0.264
3020,0
3021,0
3022,0
3023,0
3024,0
3025,0
3026,0
3027,0.133
3028,20.409
3029,65.985
3030,107.19
3031,142.917
3032,172.582
3033,200.877
3034,226.976
3035,241.058
3036,234.345
3037,214.518
3038,186.879
3039,143.774
3040,113.571
3041,67.473
3042,21.261
3043,0.257
3044,0
3045,0
3046,0
3047,0
3048,0
3049,0
3050,0
3051,0.206
3052,19.607
3053,65.132
3054,109.795
3055,153.097
3056,173.139
3057,201.208
3058,235.812
3059,238.862
3060,222.51
3061,223.575
3062,186.466
3063,154.276
3064,117.714
3065,71.562
3066,24.476
3067,0.546
3068,0
3069,0
3070,0
3071,0
3072,0
3073,0
3074,0
3075,0.165
3076,24.089
3077,75.765
3078,124.024
3079,170.79
3080,203.241
3081,218.24
3082,243.821
3083,244.602
3084,242.104
3085,217.636
3086,172.046
3087,154.265
3088,108.541
3089,73.673
3090,25.172
3091,0.607
3092,0
3093,0
3094,0
3095,0
3096,0
3097,0
3098,0
3099,0.166
3100,22.281
3101,66.159
3102,108.043
3103,141.734
3104,192.381
3105,236.617
3106,259.367
3107,272.553
3108,254.886
3109,211.545
3110,202.996
3111,165.135
3112,122.374
3113,74.525
3114,27.066
3115,0.317
3116,0
3117,0
3118,0
3119,0
3120,0
3121,0
3122,0
3123,0.346
3124,24.605
3125,68.688
3126,109.768
3127,156.208
3128,208.648
3129,235.935
3130,251.536
3131,267.869
3132,268.29
3133,239.623
3134,206.248
3135,165.463
3136,111.389
3137,73.498
3138,27.818
3139,0.714
3140,0
3141,0
3142,0
3143,0
3144,0
3145,0
3146,0
3147,0.138
3148,22.859
3149,68.401
3150,109.257
3151,158.501
3152,191.734
3153,218.177
3154,241.481
3155,235.222
3156,244.937
3157,228.925
3158,194.84
3159,166.132
3160,120.1
3161,78.976
3162,28.436
3163,1.087
3164,0
3165,0
3166,0
3167,0
3168,0
3169,0
3170,0
3171,0.467
3172,27.506
3173,72.525
3174,114.557
3175,143.066
3176,192.151
3177,232.534
3178,251.034
3179,269.963
3180,272.228
3181,231.86
3182,211.469
3183,168.497
3184,125.421
3185,75.09
3186,29.756
3187,1.543
3188,0
3189,0
3190,0
3191,0
3192,0
3193,0
3194,0
3195,0.706
3196,32.356
3197,81.167
3198,128.034
3199,155.061
3200,199.51
3201,227.7
3202,260.276
3203,255.395
3204,250.929
3205,241.792
3206,218.619
3207,170.058
3208,126.115
3209,83.506
3210,34.614
3211,1.993
3212,0
3213,0
3214,0
3215,0
3216,0
3217,0
3218,0
3219,1.01
3220,29.813
3221,76.364
3222,127.628
3223,169.598
3224,203.58
3225,240.393
3226,258.688
3227,276.488
3228,263.433
3229,248.862
3230,209.752
3231,171.585
3232,122.709
3233,83.555
3234,40.507
3235,7.013
3236,0
3237,0
3238,0
3239,0
3240,0
3241,0
3242,0
3243,0.95
3244,27.385
3245,72.566
3246,117.94
3247,164.706
3248,202.63
3249,245.388
3250,263.959
3251,267.765
3252,256.58
3253,246.999
3254,216.055
3255,182.395
3256,120.081
3257,74.738
3258,33.732
3259,2.391
3260,0
3261,0
3262,0
3263,0
3264,0
3265,0
3266,0
3267,1.094
3268,29.363
3269,75.579
3270,109.336
3271,149.551
3272,194.228
3273,221.462
3274,243.761
3275,254.225
3276,272.165
3277,239.623
3278,200.452
3279,158.787
3280,126.819
3281,77.35
3282,32.014
3283,2.254
3284,0
3285,0
3286,0
3287,0
3288,0
3289,0
3290,0
3291,1.214
3292,26.016
3293,64.608
3294,101.928
3295,154.802
3296,204.353
3297,229.506
3298,247.54
3299,254.926
3300,238.31
3301,236.724
3302,212.782
3303,173.048
3304,124.966
3305,84.754
3306,38.231
3307,2.853
3308,0
3309,0
3310,0
3311,0
3312,0
3313,0
3314,0
3315,1.949
3316,33.849
3317,79.408
3318,121.941
3319,162.016
3320,219.234
3321,261.99
3322,275.888
3323,285.368
3324,290.128
3325,236.961
3326,210.6
3327,162.345
3328,125.924
3329,81.487
3330,38.563
3331,3.604
3332,0
3333,0
3334,0
3335,0
3336,0
3337,0
3338,0
3339,1.804
3340,32.323
3341,84.864
3342,131.779
3343,177.447
3344,214.093
3345,243.143
3346,254.834
3347,277.364
3348,278.98
3349,224.01
3350,203.732
3351,178.118
3352,128.457
3353,89.011
3354,41.639
3355,3.535
3356,0
3357,0
3358,0
3359,0
3360,0
3361,0
3362,0
3363,2.335
3364,35.2
3365,83.54
3366,119.902
3367,164.261
3368,179.362
3369,236.204
3370,265.717
3371,301.885
3372,267.39
3373,236.172
3374,214.301
3375,174.707
3376,125.808
3377,84.937
3378,36.454
3379,3.407
3380,0
3381,0
3382,0
3383,0
3384,0
3385,0
3386,0
3387,2.682
3388,35.327
3389,87.137
3390,134.863
3391,178.819
3392,206.536
3393,239.43
3394,271.242
3395,272.809
3396,273.811
3397,246.82
3398,192.012
3399,164.905
3400,119.645
3401,84.88
3402,41.017
3403,3.958
3404,0
3405,0
3406,0
3407,0
3408,0
3409,0
3410,0
3411,2.856
3412,34.513
3413,72.183
3414,117.11
3415,170.647
3416,197.525
3417,221.546
3418,255.476
3419,266.268
3420,269.244
3421,234.079
3422,203.54
3423,161.527
3424,123.066
3425,80.604
3426,39.68
3427,5.952
3428,0
3429,0
3430,0
3431,0
3432,0
3433,0
3434,0
3435,3.329
3436,37.142
3437,78.705
3438,116.965
3439,156.77
3440,197.368
3441,219.729
3442,259.253
3443,262.124
3444,269.631
3445,249.583
3446,213.286
3447,167.606
3448,134.021
3449,87.411
3450,41.613
3451,4.941
3452,0
3453,0
3454,0
3455,0
3456,0
3457,0
3458,0
3459,3.622
3460,40.276
3461,85.718
3462,123.716
3463,161.97
3464,197.429
3465,231.165
3466,250.987
3467,248.959
3468,242.988
3469,238.267
3470,206.299
3471,163.993
3472,115.735
3473,76.74
3474,38.01
3475,4.925
3476,0
3477,0
3478,0
3479,0
3480,0
3481,0
3482,0
3483,3.688
3484,30.174
3485,77.473
3486,125.115
3487,162.869
3488,198.219
3489,235.215
3490,260.321
3491,274.569
3492,263.04
3493,245.292
3494,222.098
3495,187.405
3496,124.362
3497,81.452
3498,43.349
3499,6.172
3500,0
3501,0
3502,0
3503,0
3504,0
3505,0
3506,0
3507,4.485
3508,40.722
3509,93.004
3510,134.973
3511,172.841
3512,218.614
3513,244.571
3514,272.044
3515,279.153
3516,262.554
3517,243.202
3518,209.463
3519,181.019
3520,132.021
3521,79.954
3522,37.118
3523,5.624
3524,0
3525,0
3526,0
3527,0
3528,0
3529,0
3530,0
3531,4.341
3532,38.439
3533,81.584
3534,124.135
3535,166.017
3536,196.419
3537,233.276
3538,247.735
3539,264.557
3540,234.715
3541,239.061
3542,206.516
3543,159.852
3544,131.764
3545,83.546
3546,41.665
3547,6.813
3548,0
3549,0
3550,0
3551,0
3552,0
3553,0
3554,0
3555,4.191
3556,38.677
3557,87.171
3558,133.16
3559,165.103
3560,205.144
3561,236.745
3562,247.235
3563,287.618
3564,263.431
3565,247.779
3566,214.61
3567,160.916
3568,126.559
3569,83.146
3570,45.54
3571,8.222
3572,0
3573,0
3574,0
3575,0
3576,0
3577,0
3578,0
3579,4.818
3580,39.84
3581,85.054
3582,126.432
3583,164.412
3584,212.141
3585,243.717
3586,241.641
3587,246.823
3588,264.647
3589,243.02
3590,223.964
3591,177.923
3592,129.504
3593,88.94
3594,45.112
3595,7.704
3596,0
3597,0
3598,0
3599,0
3600,0
3601,0
3602,0
3603,5.739
3604,44.905
3605,94.878
3606,139.585
3607,172.175
3608,216.329
3609,254.54
3610,274.631
3611,277.898
3612,274.858
3613,258.973
3614,213.37
3615,164.077
3616,130.707
3617,94.846
3618,47.105
3619,9.147
3620,0
3621,0
3622,0
3623,0
3624,0
3625,0
3626,0
3627,4.829
3628,43.034
3629,89.708
3630,120.703
3631,166.192
3632,207.511
3633,225.859
3634,267.988
3635,261.84
3636,269.38
3637,245.829
3638,207.296
3639,165.496
3640,140.953
3641,98.474
3642,53.022
3643,10.227
3644,0
3645,0
3646,0
3647,0
3648,0
3649,0
3650,0
3651,5.948
3652,44.122
3653,86.927
3654,132.202
3655,178.428
3656,219.489
3657,268.82
3658,261.363
3659,286.213
3660,277.768
3661,262.597
3662,222.937
3663,180.165
3664,134.116
3665,98.107
3666,54.786
3667,10.401
3668,0
3669,0
3670,0
3671,0
3672,0
3673,0
3674,0
3675,6.85
3676,45.714
3677,87.261
3678,127.871
3679,171.068
3680,205.728
3681,244.519
3682,246.021
3683,241.14
3684,233.033
3685,228.306
3686,180.472
3687,155.628
3688,129.961
3689,89.779
3690,49.985
3691,9.997
3692,0
3693,0
3694,0
3695,0
3696,0
3697,0
3698,0
3699,6.311
3700,43.193
3701,91.43
3702,136.513
3703,172.043
3704,222.879
3705,266.695
3706,292.131
3707,299.162
3708,278.06
3709,269.292
3710,222.169
3711,171.326
3712,135.512
3713,89.917
3714,44.517
3715,9.366
3716,0
3717,0
3718,0
3719,0
3720,0
3721,0
3722,0
3723,5.728
3724,40.818
3725,88.766
3726,127.588
3727,178.63
3728,205.528
3729,252.242
3730,282.515
3731,288.531
3732,266.402
3733,234.432
3734,69.741
3735,168.481
3736,138.367
3737,96.754
3738,49.452
3739,10.599
3740,0.02
3741,0
3742,0
3743,0
3744,0
3745,0
3746,0
3747,6.812
3748,44.216
3749,84.513
3750,129.11
3751,179.14
3752,222.511
3753,246.466
3754,286.038
3755,274.649
3756,280.429
3757,243.966
3758,207.089
3759,163.521
3760,129.936
3761,94.577
3762,51.208
3763,10.388
3764,0.033
3765,0
3766,0
3767,0
3768,0
3769,0
3770,0
3771,6.266
3772,38.561
3773,81.872
3774,126.869
3775,168.885
3776,200.981
3777,223.78
3778,239.77
3779,258.716
3780,269.728
3781,249.51
3782,210.884
3783,180.239
3784,134.444
3785,99.704
3786,54.202
3787,10.682
3788,0.024
3789,0
3790,0
3791,0
3792,0
3793,0
3794,0
3795,7.677
3796,46.283
3797,93.288
3798,137.454
3799,171.342
3800,207.036
3801,220.173
3802,251.421
3803,276.203
3804,270.299
3805,248.6
3806,225.038
3807,176.101
3808,127.269
3809,94.978
3810,51.954
3811,11.559
3812,0.034
3813,0
3814,0
3815,0
3816,0
3817,0
3818,0
3819,6.998
3820,47.946
3821,100.626
3822,140.524
3823,177.81
3824,227.012
3825,248.329
3826,258.864
3827,278.364
3828,251.454
3829,238.706
3830,215.952
3831,180.52
3832,133.162
3833,98.812
3834,53.122
3835,11.916
3836,0.01
3837,0
3838,0
3839,0
3840,0
3841,0
3842,0
3843,7.502
3844,44.861
3845,92.625
3846,128.383
3847,172.397
3848,219.836
3849,260.875
3850,260.801
3851,270.389
3852,264.072
3853,248.936
3854,210.519
3855,177.219
3856,141.056
3857,92.962
3858,53.264
3859,12.025
3860,0.019
3861,0
3862,0
3863,0
3864,0
3865,0
3866,0
3867,6.973
3868,41.957
3869,87.703
3870,141.118
3871,184.574
3872,221.599
3873,267.463
3874,299.282
3875,284.05
3876,276.649
3877,258.93
3878,218.476
3879,170.5
3880,144.538
3881,97.624
3882,53.12
3883,12.412
3884,0.046
3885,0
3886,0
3887,0
3888,0
3889,0
3890,0
3891,7.09
3892,43.233
3893,86.843
3894,137.932
3895,174.327
3896,218.223
3897,237.088
3898,273.883
3899,282.166
3900,287.413
3901,245.366
3902,223.269
3903,180.304
3904,133.785
3905,101.804
3906,52.096
3907,14.217
3908,0.063
3909,0
3910,0
3911,0
3912,0
3913,0
3914,0
3915,7.761
3916,44.832
3917,87.966
3918,130.814
3919,180.763
3920,216.903
3921,239.362
3922,269.688
3923,264.162
3924,252.564
3925,255.962
3926,227.999
3927,199.064
3928,150.846
3929,97.378
3930,54.914
3931,14.208
3932,0.028
3933,0
3934,0
3935,0
3936,0
3937,0
3938,0
3939,7.103
3940,44.07
3941,90.107
3942,123.923
3943,182.149
3944,230.283
3945,255.148
3946,296.409
3947,303.946
3948,301.913
3949,263.466
3950,232.708
3951,180.414
3952,151.881
3953,102.87
3954,56.171
3955,13.199
3956,0.005
3957,0
3958,0
3959,0
3960,0
3961,0
3962,0
3963,7.092
3964,38.078
3965,86.675
3966,135.032
3967,179.016
3968,204.398
3969,249.932
3970,281
3971,287.108
3972,277.292
3973,243.79
3974,219.953
3975,180.094
3976,136.979
3977,91.304
3978,51.247
3979,14.427
3980,0.145
3981,0
3982,0
3983,0
3984,0
3985,0
3986,0
3987,8.002
3988,43.899
3989,88.972
3990,118.321
3991,161.038
3992,213.926
3993,230.739
3994,261.232
3995,265.257
3996,247.996
3997,253.555
3998,229.578
3999,191.582
4000,137.816
4001,98.65
4002,59.413
4003,15.052
4004,0.034
4005,0
4006,0
4007,0
4008,0
4009,0
4010,0
4011,9.507
4012,49.331
4013,97.596
4014,134.656
4015,171.981
4016,212.748
4017,248.468
4018,266.487
4019,278.945
4020,275.127
4021,267.583
4022,231.102
4023,186.115
4024,130.159
4025,95.554
4026,56.519
4027,15.912
4028,0.033
4029,0
4030,0
4031,0
4032,0
4033,0
4034,0
4035,8.846
4036,48.285
4037,95.645
4038,136.415
4039,180.368
4040,214.707
4041,242.137
4042,259.405
4043,280.724
4044,260.09
4045,248.365
4046,219.935
4047,182.283
4048,145.645
4049,100.503
4050,52.51
4051,13.993
4052,0.061
4053,0
4054,0
4055,0
4056,0
4057,0
4058,0
4059,7.62
4060,44.079
4061,94.327
4062,134.848
4063,181.81
4064,232.751
4065,274.872
4066,285.48
4067,288.95
4068,292.779
4069,259.026
4070,222.671
4071,187.343
4072,138.435
4073,100.113
4074,56.088
4075,12.522
4076,0.043
4077,0
4078,0
4079,0
4080,0
4081,0
4082,0
4083,7.614
4084,46.743
4085,93.415
4086,138.498
4087,159.849
4088,200.881
4089,231.784
4090,250.581
4091,286.17
4092,274.708
4093,276.577
4094,240.731
4095,192.704
4096,156.704
4097,110.239
4098,62.255
4099,15.32
4100,0.09
4101,0
4102,0
4103,0
4104,0
4105,0
4106,0
4107,6.654
4108,42.388
4109,89.387
4110,135.916
4111,183.849
4112,220.731
4113,261.064
4114,271.62
4115,293.331
4116,274.249
4117,234.466
4118,219.889
4119,191.067
4120,135.107
4121,95.138
4122,57.885
4123,14.082
4124,0.104
4125,0
4126,0
4127,0
4128,0
4129,0
4130,0
4131,6.512
4132,40.395
4133,88.427
4134,134.624
4135,182.502
4136,210.42
4137,256.54
4138,274.093
4139,287.437
4140,290.241
4141,267.478
4142,232.422
4143,200.023
4144,140.424
4145,91.586
4146,54.915
4147,14.593
4148,0.142
4149,0
4150,0
4151,0
4152,0
4153,0
4154,0
4155,6.987
4156,40.321
4157,91.113
4158,145.588
4159,183.88
4160,241.706
4161,280.698
4162,293.152
4163,311.618
4164,306.08
4165,263.966
4166,246.527
4167,193.646
4168,150.063
4169,110.394
4170,60.626
4171,15.161
4172,0.161
4173,0
4174,0
4175,0
4176,0
4177,0
4178,0
4179,7.667
4180,48.057
4181,91.265
4182,141.666
4183,195.346
4184,220.052
4185,250.986
4186,260.51
4187,262.328
4188,281.22
4189,245.186
4190,208.244
4191,167.443
4192,138.218
4193,95.811
4194,55.076
4195,13.88
4196,0.034
4197,0
4198,0
4199,0
4200,0
4201,0
4202,0
4203,6.766
4204,39.591
4205,79.641
4206,128.307
4207,159.757
4208,199.634
4209,240.19
4210,247.553
4211,279.504
4212,286.895
4213,290.853
4214,250.963
4215,195.577
4216,162.405
4217,100.714
4218,58.896
4219,16.115
4220,0.114
4221,0
4222,0
4223,0
4224,0
4225,0
4226,0
4227,7.599
4228,45.535
4229,91.104
4230,134.954
4231,173.981
4232,211.522
4233,241.228
4234,251.353
4235,276.504
4236,263.149
4237,247.028
4238,210.019
4239,180.162
4240,136.178
4241,100.913
4242,61.844
4243,16.676
4244,0.067
4245,0
4246,0
4247,0
4248,0
4249,0
4250,0
4251,6.696
4252,44.513
4253,94.717
4254,142.455
4255,177.718
4256,209.617
4257,234.701
4258,278.72
4259,278.057
4260,273.934
4261,254.702
4262,198.127
4263,185.049
4264,142.523
4265,106.797
4266,60.474
4267,16.857
4268,0.1
4269,0
4270,0
4271,0
4272,0
4273,0
4274,0
4275,6.366
4276,40.034
4277,87.037
4278,132.331
4279,185.767
4280,230.275
4281,255.301
4282,244.078
4283,285.768
4284,290.468
4285,265.372
4286,212.879
4287,182.363
4288,143.166
4289,108.984
4290,61.195
4291,16.728
4292,0.076
4293,0
4294,0
4295,0
4296,0
4297,0
4298,0
4299,6.838
4300,47.238
4301,95.296
4302,141.156
4303,188.005
4304,218.629
4305,246.46
4306,286.574
4307,301.223
4308,286.28
4309,273.727
4310,231.234
4311,190.499
4312,145.761
4313,107.561
4314,58.835
4315,15.586
4316,0.063
4317,0
4318,0
4319,0
4320,0
4321,0
4322,0
4323,6.406
4324,43.853
4325,87.453
4326,135.781
4327,177.509
4328,215.574
4329,246.941
4330,276.703
4331,277.245
4332,258.543
4333,241.648
4334,229.412
4335,189.308
4336,128.66
4337,101.608
4338,56.316
4339,15.862
4340,0.052
4341,0
4342,0
4343,0
4344,0
4345,0
4346,0
4347,6.563
4348,40.72
4349,80.222
4350,118.927
4351,162.665
4352,178.286
4353,238.113
4354,275.383
4355,256.298
4356,273.962
4357,253.022
4358,227.463
4359,170.502
4360,138.895
4361,87.133
4362,51.716
4363,13.848
4364,0.067
4365,0
4366,0
4367,0
4368,0
4369,0
4370,0
4371,5.571
4372,40.59
4373,86.614
4374,130.207
4375,170.793
4376,225.328
4377,262.782
4378,273.205
4379,282.129
4380,268.496
4381,250.689
4382,216.988
4383,179.713
4384,137.149
4385,104.416
4386,59.61
4387,17.467
4388,0.086
4389,0
4390,0
4391,0
4392,0
4393,0
4394,0
4395,6.626
4396,46.245
4397,90.61
4398,133.257
4399,176.64
4400,220.674
4401,267.225
4402,288.512
4403,293.057
4404,309.741
4405,286.956
4406,238.572
4407,189.907
4408,148.406
4409,97.516
4410,51.482
4411,12.369
4412,0.062
4413,0
4414,0
4415,0
4416,0
4417,0
4418,0
4419,5.506
4420,40.069
4421,88.113
4422,126.96
4423,171.699
4424,217.067
4425,248.03
4426,246.495
4427,278.131
4428,263.558
4429,221.296
4430,197.929
4431,177.66
4432,135.008
4433,97.418
4434,51.577
4435,12.405
4436,0.062
4437,0
4438,0
4439,0
4440,0
4441,0
4442,0
4443,5.263
4444,40.142
4445,88.878
4446,131.078
4447,170.334
4448,207.737
4449,248.913
4450,254.59
4451,252.804
4452,259.86
4453,260.591
4454,222.185
4455,177.36
4456,136.348
4457,89.418
4458,48.258
4459,13.893
4460,0.052
4461,0
4462,0
4463,0
4464,0
4465,0
4466,0
4467,4.952
4468,39.184
4469,83.978
4470,124.892
4471,164.874
4472,197.074
4473,241.452
4474,269.863
4475,291.73
4476,285.784
4477,281.981
4478,227.902
4479,181.129
4480,143.588
4481,108.172
4482,53.368
4483,14.812
4484,0.086
4485,0
4486,0
4487,0
4488,0
4489,0
4490,0
4491,4.197
4492,40.712
4493,88.119
4494,128.663
4495,176.892
4496,218.677
4497,247.472
4498,270.703
4499,313.989
4500,297.636
4501,260.091
4502,230.943
4503,176.444
4504,136.256
4505,100.592
4506,54.756
4507,15.189
4508,0.101
4509,0
4510,0
4511,0
4512,0
4513,0
4514,0
4515,5.211
4516,42.405
4517,86.583
4518,126.574
4519,173.391
4520,224.777
4521,247.898
4522,272.665
4523,299.339
4524,273.72
4525,294.685
4526,248.43
4527,217.022
4528,156.77
4529,97.623
4530,57.582
4531,13.415
4532,0.034
4533,0
4534,0
4535,0
4536,0
4537,0
4538,0
4539,4.396
4540,38.01
4541,78.394
4542,120.506
4543,157.005
4544,198.533
4545,232.912
4546,253.891
4547,297.014
4548,259.405
4549,259.139
4550,231.703
4551,183.184
4552,150.995
4553,99.429
4554,53.121
4555,13.837
4556,0.124
4557,0
4558,0
4559,0
4560,0
4561,0
4562,0
4563,3.631
4564,32.477
4565,75.277
4566,123.288
4567,164.441
4568,215.113
4569,261.385
4570,279.183
4571,285.133
4572,288.89
4573,241.47
4574,215.96
4575,191.299
4576,142.906
4577,93.141
4578,54.093
4579,13.178
4580,0.038
4581,0
4582,0
4583,0
4584,0
4585,0
4586,0
4587,4.085
4588,36.189
4589,84.627
4590,136.133
4591,169.575
4592,195.036
4593,229.736
4594,262.611
4595,271.975
4596,276.104
4597,255.625
4598,236.289
4599,188.456
4600,149.523
4601,99.737
4602,54.158
4603,11.997
4604,0.046
4605,0
4606,0
4607,0
4608,0
4609,0
4610,0
4611,3.272
4612,35.053
4613,87.756
4614,134.336
4615,188.099
4616,229.366
4617,243.283
4618,279.697
4619,287.329
4620,290.59
4621,274.673
4622,237.652
4623,194.383
4624,156.088
4625,108.322
4626,58.228
4627,13.707
4628,0.014
4629,0
4630,0
4631,0
4632,0
4633,0
4634,0
4635,3.076
4636,34.302
4637,82.745
4638,130.163
4639,184.971
4640,219.482
4641,246.446
4642,255.177
4643,228.735
4644,258.14
4645,261.699
4646,230.511
4647,183.928
4648,138.906
4649,89.309
4650,47.552
4651,11.356
4652,0.024
