,global,direct,diffuse,resolution,doy
0,3173.679,767.05237,2406.6265,05m,1
1,3188.8252,775.205,2413.62,05m,2
2,3205.29,784.1068,2421.1833,05m,3
3,3377.5059,793.7596,2583.746,05m,4
4,3398.6235,804.16626,2594.457,05m,5
5,3421.0647,815.3288,2605.7358,05m,6
6,3444.8066,827.2489,2617.5579,05m,7
7,3469.8257,839.92816,2629.8977,05m,8
8,3497.5881,853.3676,2644.2207,05m,9
9,3528.655,872.0342,2656.621,05m,10
10,3557.676,887.25995,2670.416,05m,11
11,3587.8982,903.2749,2684.6235,05m,12
12,3619.2964,920.0794,2699.2168,05m,13
13,3651.4268,939.1283,2712.2986,05m,14
14,3685.4773,957.97455,2727.503,05m,15
15,3880.2239,977.6628,2902.5613,05m,16
16,3918.3916,998.22174,2920.1702,05m,17
17,3957.706,1019.6053,2938.1006,05m,18
18,3998.1414,1041.817,2956.3242,05m,19
19,4039.669,1064.8574,2974.8113,05m,20
20,4237.843,1088.7263,3149.116,05m,21
21,4284.6997,1113.4218,3171.278,05m,22
22,4332.53,1138.9395,3193.5906,05m,23
23,4381.297,1165.2743,3216.0227,05m,24
24,4432.463,1192.4198,3240.0432,05m,25
25,4483.0654,1220.3672,3262.6982,05m,26
26,4536.0107,1249.1075,3286.903,05m,27
27,4588.334,1278.6304,3309.7039,05m,28
28,4641.413,1308.9233,3332.4897,05m,29
29,4695.2114,1339.9749,3355.2366,05m,30
30,4749.6914,1371.7704,3377.9211,05m,31
31,4196.8257,1237.8262,2958.9993,05m,32
32,4251.1367,1269.0212,2982.1157,05m,33
33,4306.0938,1300.9462,3005.1477,05m,34
34,4616.5806,1333.5919,3282.9885,05m,35
35,4682.44,1371.4838,3310.956,05m,36
36,4746.49,1406.2455,3340.2449,05m,37
37,4811.063,1441.7532,3369.3096,05m,38
38,4876.1235,1477.9941,3398.1292,05m,39
39,4941.6357,1514.9526,3426.6829,05m,40
40,5007.5635,1552.611,3454.9524,05m,41
41,5073.871,1590.9496,3482.9216,05m,42
42,5143.655,1629.9481,3513.707,05m,43
43,5210.887,1669.5848,3541.3027,05m,44
44,5278.3945,1709.8369,3568.5579,05m,45
45,5346.143,1750.6816,3595.4617,05m,46
46,5413.4536,1793.6011,3619.8525,05m,47
47,5482.0073,1836.1198,3645.8877,05m,48
48,5805.5127,1879.2148,3926.298,05m,49
49,5882.1597,1922.8555,3959.3042,05m,50
50,5958.8013,1967.0203,3991.781,05m,51
51,6035.4053,2011.687,4023.7183,05m,52
52,6111.9395,2056.8298,4055.1096,05m,53
53,6188.3716,2102.4233,4085.948,05m,54
54,6264.6694,2148.4392,4116.23,05m,55
55,6340.803,2194.8496,4145.9536,05m,56
56,6416.7427,2241.6262,4175.1167,05m,57
57,6494.0547,2288.7402,4205.3145,05m,58
58,6571.3047,2336.1611,4235.1436,05m,59
59,5645.848,2076.989,3568.8594,05m,60
60,5713.535,2119.579,3593.9563,05m,61
61,5780.985,2162.3792,3618.6055,05m,62
62,5941.43,2205.365,3736.0654,05m,63
63,6010.837,2249.9692,3760.868,05m,64
64,6081.0938,2293.6965,3787.3972,05m,65
65,6150.992,2337.5796,3813.4126,05m,66
66,6220.511,2381.5964,3838.9148,05m,67
67,6289.634,2425.726,3863.9077,05m,68
68,6358.3384,2469.9453,3888.393,05m,69
69,6426.607,2514.2327,3912.3743,05m,70
70,6495.904,2558.5632,3937.341,05m,71
71,6563.4546,2602.9138,3960.5405,05m,72
72,6630.5093,2647.2605,3983.2488,05m,73
73,6697.052,2691.5806,4005.4712,05m,74
74,6764.5415,2735.851,4028.6904,05m,75
75,6830.1685,2780.0483,4050.1199,05m,76
76,6895.2305,2824.1511,4071.0793,05m,77
77,6959.712,2868.1377,4091.5742,05m,78
78,7023.597,2911.9863,4111.611,05m,79
79,7181.846,2956.8496,4224.9966,05m,80
80,7247.997,3000.7651,4247.2324,05m,81
81,7313.4775,3044.5195,4268.958,05m,82
82,7378.2827,3088.0986,4290.184,05m,83
83,7443.913,3131.4868,4312.4263,05m,84
84,7507.5503,3174.6672,4332.883,05m,85
85,7564.7153,3212.916,4351.799,05m,86
86,7627.008,3255.6792,4371.3286,05m,87
87,7688.5776,3298.1858,4390.3916,05m,88
88,7749.4165,3340.4204,4408.996,05m,89
89,7809.519,3382.3674,4427.1514,05m,90
90,8013.339,3480.4932,4532.846,05m,91
91,8073.615,3522.1833,4551.4316,05m,92
92,8131.814,3563.5337,4568.2803,05m,93
93,8189.236,3604.5278,4584.7075,05m,94
94,8244.475,3645.6619,4598.813,05m,95
95,8300.463,3686.1853,4614.2773,05m,96
96,8456.229,3726.3623,4729.866,05m,97
97,8514.098,3766.2,4747.897,05m,98
98,8571.129,3805.6526,4765.4756,05m,99
99,8239.568,3682.8713,4556.6978,05m,100
100,8291.676,3719.1274,4572.5483,05m,101
101,8343.002,3755.005,4587.997,05m,102
102,8393.544,3790.4946,4603.0493,05m,103
103,8443.307,3825.591,4617.716,05m,104
104,8492.289,3860.2856,4632.0024,05m,105
105,8540.491,3894.5715,4645.9194,05m,106
106,8587.913,3928.4402,4659.474,05m,107
107,8634.558,3961.8845,4672.674,05m,108
108,8680.426,3994.8982,4685.5273,05m,109
109,8728.489,4027.4734,4701.0156,05m,110
110,8773.123,4059.6057,4713.5176,05m,111
111,8816.977,4091.2861,4725.691,05m,112
112,8860.056,4122.5127,4737.543,05m,113
113,8902.358,4153.278,4749.08,05m,114
114,9041.58,4183.578,4858.002,05m,115
115,9085.249,4213.4087,4871.84,05m,116
116,9128.078,4242.7646,4885.314,05m,117
117,9169.857,4274.0386,4895.819,05m,118
118,9211.233,4300.0396,4911.193,05m,119
119,9251.564,4327.9526,4923.611,05m,120
120,8849.914,4171.7026,4678.212,05m,121
121,8888.285,4198.0483,4690.237,05m,122
122,8925.857,4223.9165,4701.9404,05m,123
123,8962.633,4249.3037,4713.3286,05m,124
124,9001.691,4279.486,4722.2065,05m,125
125,9035.347,4298.632,4736.715,05m,126
126,9071.257,4322.568,4748.6885,05m,127
127,9108.286,4353.07,4755.2163,05m,128
128,9141.936,4376.66,4765.275,05m,129
129,9174.826,4399.776,4775.051,05m,130
130,9206.959,4422.414,4784.545,05m,131
131,9238.337,4444.572,4793.765,05m,132
132,9268.964,4466.2476,4802.7163,05m,133
133,9298.84,4487.437,4811.402,05m,134
134,9413.331,4508.139,4905.192,05m,135
135,9443.964,4528.351,4915.613,05m,136
136,9473.788,4548.07,4925.7183,05m,137
137,9503.991,4571.058,4932.9326,05m,138
138,9532.487,4590.1797,4942.3076,05m,139
139,9560.191,4608.81,4951.3813,05m,140
140,9106.035,4380.9937,4725.042,05m,141
141,9131.202,4397.831,4733.3706,05m,142
142,9155.622,4414.202,4741.42,05m,143
143,9180.622,4430.1006,4750.5215,05m,144
144,9203.64,4445.5234,4758.1167,05m,145
145,9225.904,4460.4663,4765.4375,05m,146
146,9247.419,4474.9272,4772.4917,05m,147
147,9269.58,4488.902,4780.678,05m,148
148,9289.683,4502.386,4787.296,05m,149
149,9309.028,4515.3755,4793.653,05m,150
150,9327.621,4527.8687,4799.7524,05m,151
151,9493.154,4609.817,4883.338,05m,152
152,9510.627,4621.804,4888.8228,05m,153
153,9527.334,4633.2744,4894.06,05m,154
154,9543.279,4644.2236,4899.0557,05m,155
155,9558.458,4654.649,4903.8096,05m,156
156,9572.869,4664.545,4908.324,05m,157
157,9586.51,4673.9077,4912.6016,05m,158
158,9599.381,4682.7354,4916.6445,05m,159
159,9611.477,4691.023,4920.4546,05m,160
160,9622.797,4698.7656,4924.0312,05m,161
161,9633.339,4705.961,4927.3784,05m,162
162,9643.103,4712.6064,4930.496,05m,163
163,9652.083,4718.6987,4933.385,05m,164
164,9749.506,4726.1567,5023.3486,05m,165
165,9757.69,4731.1606,5026.5303,05m,166
166,9765.062,4733.616,5031.445,05m,167
167,9771.465,4739.45,5032.0156,05m,168
168,9777.09,4740.736,5036.3535,05m,169
169,9781.806,4743.4395,5038.366,05m,170
170,9785.652,4745.568,5040.0845,05m,171
171,9788.624,4747.117,5041.507,05m,172
172,9790.72,4748.0884,5042.6323,05m,173
173,9791.937,4748.4775,5043.46,05m,174
174,9792.2705,4748.28,5043.991,05m,175
175,9791.719,4747.496,5044.222,05m,176
176,9790.277,4746.124,5044.1533,05m,177
177,9787.938,4744.158,5043.78,05m,178
178,9784.703,4741.6016,5043.1016,05m,179
179,9780.567,4738.449,5042.1177,05m,180
180,9775.522,4734.7,5040.8223,05m,181
181,9769.567,4730.3535,5039.215,05m,182
182,9762.697,4725.4062,5037.2915,05m,183
183,9754.907,4719.859,5035.049,05m,184
184,9746.195,4713.709,5032.4854,05m,185
185,9736.55,4706.9565,5029.5933,05m,186
186,9725.973,4699.6006,5026.3726,05m,187
187,9625.495,4691.6406,4933.854,05m,188
188,9613.934,4683.0757,4930.8574,05m,189
189,9601.507,4673.907,4927.5996,05m,190
190,9588.202,4664.1323,4924.0703,05m,191
191,9574.024,4653.7554,4920.2695,05m,192
192,9558.964,4642.773,4916.191,05m,193
193,9543.019,4631.188,4911.83,05m,194
194,9524.86,4619.0015,4905.8584,05m,195
195,9502.1045,4596.9287,4905.1763,05m,196
196,9483.911,4583.953,4899.959,05m,197
197,9469.246,4578.8447,4890.401,05m,198
198,9448.909,4564.2666,4884.642,05m,199
199,9427.666,4549.096,4878.57,05m,200
200,9402.185,4526.2007,4875.984,05m,201
201,9379.486,4510.305,4869.1807,05m,202
202,9355.867,4493.829,4862.0376,05m,203
203,9330.046,4476.7734,4853.273,05m,204
204,9304.676,4459.1396,4845.5366,05m,205
205,9278.371,4440.9297,4837.441,05m,206
206,9251.123,4422.144,4828.979,05m,207
207,9223.101,4401.1562,4821.945,05m,208
208,9194.117,4381.495,4812.6226,05m,209
209,9164.161,4361.253,4802.9077,05m,210
210,8469.618,4053.4067,4416.211,05m,211
211,8434.738,4029.797,4404.9414,05m,212
212,8400.278,4005.6572,4394.6206,05m,213
213,8801.462,4195.9155,4605.546,05m,214
214,8763.718,4169.5254,4594.1924,05m,215
215,8725.045,4142.605,4582.4404,05m,216
216,8684.255,4115.164,4569.0903,05m,217
217,8643.901,4087.2126,4556.689,05m,218
218,8602.621,4058.7568,4543.864,05m,219
219,8560.413,4029.8076,4530.6055,05m,220
220,8517.276,4000.3748,4516.9023,05m,221
221,8473.213,3970.4678,4502.745,05m,222
222,8428.22,3940.096,4488.124,05m,223
223,8382.296,3909.2688,4473.0264,05m,224
224,8335.439,3877.9954,4457.445,05m,225
225,8287.651,3846.2825,4441.368,05m,226
226,8162.8716,3813.4287,4349.4424,05m,227
227,8116.8115,3781.1602,4335.652,05m,228
228,8069.8833,3748.4482,4321.435,05m,229
229,8020.827,3715.3062,4305.521,05m,230
230,7972.3213,3681.7449,4290.5767,05m,231
231,7921.8647,3647.7795,4274.085,05m,232
232,7871.8564,3613.424,4258.433,05m,233
233,7820.9995,3578.6929,4242.3066,05m,234
234,7769.298,3543.6006,4225.6978,05m,235
235,7716.756,3508.162,4208.5938,05m,236
236,7663.378,3472.3916,4190.9863,05m,237
237,7609.1665,3436.3022,4172.8643,05m,238
238,9301.961,4091.0806,5210.8804,05m,239
239,9243.0,4049.9944,5193.0054,05m,240
240,9202.164,3972.901,5229.262,05m,241
241,9139.8545,3928.0757,5211.7793,05m,242
242,9076.666,3882.9475,5193.7188,05m,243
243,9011.237,3837.5374,5173.6997,05m,244
244,8946.412,3791.8684,5154.544,05m,245
245,8880.72,3745.9602,5134.7593,05m,246
246,8814.156,3699.8293,5114.327,05m,247
247,8746.72,3653.4897,5093.23,05m,248
248,8546.535,3605.598,4940.9375,05m,249
249,8483.096,3559.6028,4923.493,05m,250
250,8418.903,3513.3787,4905.525,05m,251
251,8353.97,3466.949,4887.02,05m,252
252,8286.984,3420.3389,4866.646,05m,253
253,8220.769,3373.5737,4847.1953,05m,254
254,8153.8486,3326.6794,4827.169,05m,255
255,8086.237,3279.6816,4806.5547,05m,256
256,8017.9463,3232.6064,4785.3403,05m,257
257,8292.099,3293.6526,4998.446,05m,258
258,8219.1045,3244.368,4974.7373,05m,259
259,8145.423,3195.0645,4950.3584,05m,260
260,8071.0547,3145.7563,4925.2983,05m,261
261,7865.3145,3095.3484,4769.9663,05m,262
262,7795.517,3046.7856,4748.731,05m,263
263,7569.4136,2943.2048,4626.209,05m,264
264,7497.2935,2895.1575,4602.1357,05m,265
265,7426.2817,2847.16,4579.122,05m,266
266,7354.7812,2799.2385,4555.543,05m,267
267,7282.811,2751.4207,4531.3906,05m,268
268,7210.3945,2703.7354,4506.659,05m,269
269,7137.547,2656.2075,4481.3394,05m,270
270,7064.2905,2608.8623,4455.428,05m,271
271,6990.6416,2561.7217,4428.92,05m,272
272,6916.4585,2512.385,4404.0737,05m,273
273,6715.7954,2466.4578,4249.338,05m,274
274,6646.4253,2420.7156,4225.7095,05m,275
275,6576.7773,2375.1833,4201.594,05m,276
276,6506.878,2329.888,4176.99,05m,277
277,6435.273,2284.8557,4150.418,05m,278
278,6363.675,2240.1128,4123.562,05m,279
279,6293.4556,2195.6853,4097.77,05m,280
