,global,direct,diffuse,directDuration,resolution,doy
281,1263.5648,791.01355,472.55133,10.3125,1m,282
282,1062.9183,602.3548,460.56348,9.25,1m,283
283,1183.3002,734.64777,448.6523,10.3125,1m,284
284,1144.3534,707.44464,436.90875,10.375,1m,285
285,1106.2161,680.904,425.31207,10.25,1m,286
286,1068.7483,654.97687,413.77142,10.125,1m,287
287,894.1114,491.70142,402.41,8.9375,1m,288
288,996.3708,605.154,391.21677,10.0,1m,289
289,961.3588,581.2226,380.13623,9.928572,1m,290
290,927.1831,557.9593,369.22382,9.75,1m,291
291,893.8593,535.3659,358.49344,9.5,1m,292
292,744.8721,396.2771,348.595,8.3125,1m,293
293,830.68805,492.54886,338.1392,9.25,1m,294
294,799.8217,471.9095,327.91223,9.4375,1m,295
295,663.5357,345.6699,317.86578,8.208333,1m,296
296,740.49164,432.54486,307.94678,9.5,1m,297
297,613.0069,314.74847,298.2584,8.1875,1m,298
298,684.5609,395.77194,288.78897,9.5,1m,299
299,657.7541,378.30316,279.45093,9.0,1m,300
300,542.8186,272.49615,270.32248,8.125,1m,301
301,606.6656,345.24475,261.42084,9.0,1m,302
302,582.3596,329.6321,252.7275,8.9,1m,303
303,479.1899,234.98709,244.20282,7.75,1m,304
304,537.26355,300.63373,236.62985,8.666667,1m,305
305,515.21265,286.71652,228.49614,9.0,1m,306
306,422.9627,202.35796,220.60474,7.6,1m,307
307,473.5508,260.6122,212.93858,8.375,1m,308
308,453.87234,248.38039,205.49197,8.375,1m,309
309,371.66452,173.43973,198.22481,7.2,1m,310
310,416.65237,225.45372,191.19865,8.375,1m,311
311,399.15826,214.76248,184.39578,8.166667,1m,312
312,326.219,148.40149,177.8175,7.3333335,1m,313
313,310.96857,139.56766,171.4009,6.0,1m,314
314,350.74655,185.52457,165.22198,8.0,1m,315
315,335.96332,176.69612,159.2672,8.0,1m,316
316,273.93686,120.401955,153.5349,7.125,1m,317
317,309.51282,160.8003,148.71252,8.0,1m,318
318,296.4941,153.17683,143.31728,8.0,1m,319
319,284.1305,145.96677,138.16373,7.6666665,1m,320
320,231.49638,98.2576,133.23877,7.0,1m,321
321,261.24323,132.7098,128.53342,7.6666665,1m,322
322,250.62268,126.61249,124.010185,7.6666665,1m,323
323,240.25647,120.62497,119.6315,6.5,1m,324
324,195.80101,80.33309,115.46792,6.7,1m,325
325,188.0067,76.49724,111.50945,6.0,1m,326
326,213.16917,105.421684,107.74749,7.6666665,1m,327
327,198.79245,94.6173,104.17514,6.8,1m,328
328,197.37755,96.619194,100.75836,7.5,1m,329
329,160.88074,63.395523,97.48521,6.0,1m,330
330,150.26653,55.870262,94.39626,5.0,1m,331
331,166.07762,74.59385,91.48377,6.25,1m,332
332,171.99762,82.52435,89.47327,7.0,1m,333
333,166.29135,79.43536,86.85598,7.25,1m,334
334,132.08916,47.681248,84.407906,5.0,1m,335
335,131.94084,49.818924,82.12192,6.0,1m,336
336,119.450836,39.482243,79.96859,5.0,1m,337
337,120.8965,42.932346,77.96416,5.125,1m,338
338,113.07761,36.96804,76.109566,5.0,1m,339
339,139.53358,65.13448,74.3991,7.0,1m,340
340,119.59793,46.770233,72.82769,4.25,1m,341
341,115.324104,43.933247,71.390854,5.0,1m,342
342,94.42219,24.345087,70.0771,2.0,1m,343
343,101.25198,32.37903,68.872955,4.8333335,1m,344
344,94.04075,26.244427,67.796326,4.0,1m,345
345,104.33824,37.49422,66.84402,6.0,1m,346
346,77.91543,11.902182,66.01325,3.0,1m,347
347,83.75546,18.45386,65.301605,2.0,1m,348
348,82.0169,17.309855,64.70705,2.0,1m,349
349,81.650215,17.422344,64.227875,3.0,1m,350
350,79.86384,16.001104,63.862736,2.0,1m,351
351,63.6106,0.0,63.6106,0.0,1m,352
352,63.470753,0.0,63.470753,0.0,1m,353
353,63.442802,0.0,63.442802,0.0,1m,354
354,63.526672,0.0,63.526672,0.0,1m,355
355,63.526672,0.0,63.526672,0.0,1m,356
356,63.722595,0.0,63.722595,0.0,1m,357
357,64.03112,0.0,64.03112,0.0,1m,358
358,80.63005,16.176922,64.453125,2.0,1m,359
359,82.4083,17.4185,64.9898,2.0,1m,360
360,95.70915,30.066479,65.64267,3.0,1m,361
361,66.41606,0.0024630802,66.413605,1.0,1m,362
362,98.710724,31.405905,67.30482,4.0,1m,363
363,94.851906,26.532995,68.31891,5.0,1m,364
364,129.11032,59.65146,69.45887,7.0583334,1m,365
