WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
1485,1080,1085,1694,2225,207
1567,1239,1092,1672,1984,208
1454,1187,1023,1534,1691,209
1876,1467,1306,2027,2459,210
1635,1374,1210,1796,1961,211
2040,1593,1404,2162,2758,212
1550,1338,1238,1847,1687,213
1468,1301,1178,1744,1535,214
1571,1319,1178,1818,1732,215
1506,1294,1129,1759,1699,216
1593,1342,1110,1785,1906,217
1876,1457,1238,2015,2427,218
841,747,758,999,1397,219
1825,1405,1272,2076,2174,220
1639,1252,1154,2001,2050,221
1572,1218,1079,1885,1929,222
1512,1174,1042,1856,1784,223
1828,1332,1238,2094,2400,224
1780,1327,1205,2105,2123,225
1556,1237,1082,1933,1695,226
1505,1181,1094,1950,2179,227
1628,1207,1120,2045,1885,228
1593,1259,1055,1967,1779,229
1238,967,775,1075,1242,230
1545,1112,975,1718,1769,231
1606,1138,978,1815,1912,232
1869,1341,1193,2341,2226,233
1867,1314,1159,2243,2300,234
1611,1219,1107,1995,1743,235
2019,1401,1253,2435,2436,236
1623,1197,1053,1879,1835,237
1542,1241,1042,2176,1515,238
1558,1133,926,2118,1638,239
1464,1110,940,1886,1566,240
1900,1344,1188,2244,2278,241
1607,1114,971,1988,1849,242
1341,1025,809,1258,1452,243
1555,1218,904,1249,1872,244
1487,1253,931,1790,1609,245
1552,1141,835,1462,1728,246
1110,763,696,1385,1379,247
1444,1193,860,1619,1587,248
1743,1203,944,1821,1976,249
1626,1244,897,1683,1823,250
1509,1208,832,1594,1681,251
1425,1229,866,1630,1615,252
1556,1160,868,1597,1797,253
913,678,639,1003,1292,254
1587,1236,850,1524,1810,255
1630,1370,890,1508,1919,256
1448,1360,881,1504,1804,257
1395,1029,771,1374,1658,258
911,697,466,624,985,259
1462,1126,759,1291,1708,260
1433,1134,736,1233,1667,261
1706,1347,861,1408,1955,262
1417,1308,806,1209,1853,263
1315,1383,798,1121,1870,264
1400,1333,791,1146,1848,265
1264,1045,633,926,1388,266
1368,804,638,1085,1484,267
1483,1094,717,1178,1689,268
549,367,367,600,707,269
1363,1056,675,1054,1582,270
1250,898,586,947,1329,271
500,298,276,416,564,272
1416,1083,662,1068,1499,273
1352,688,622,1214,1414,274
1066,607,610,1130,1294,275
220,213,212,219,397,276
1319,837,618,1114,1344,277
943,445,409,799,891,278
1162,758,513,937,1106,279
1402,868,632,1118,1417,280
1488,881,655,1298,1396,281
1345,824,602,1044,1169,282
1558,768,631,1366,1341,283
1237,642,526,1136,1072,284
1314,684,523,1009,1027,285
1212,586,476,943,1010,286
1132,559,433,866,871,287
1312,560,450,972,806,288
1150,565,452,878,921,289
1158,541,458,1030,956,290
1438,688,565,1076,1217,291
312,254,197,224,372,292
779,421,324,493,638,293
960,447,363,782,646,294
645,294,250,537,469,295
1236,515,427,940,780,296
1482,496,433,1157,520,297
541,308,243,344,460,298
931,423,355,849,688,299
1237,494,404,970,732,300
1399,472,402,1082,501,301
1372,497,420,1027,642,302
242,200,185,222,355,303
608,287,289,720,596,304
1152,587,432,740,808,305
993,436,334,653,588,306
809,404,301,530,529,307
1296,504,384,852,561,308
1187,512,382,802,643,309
1172,486,362,782,492,310
1061,539,405,679,808,311
370,235,210,319,390,312
908,414,319,554,603,313
620,339,234,398,404,314
791,398,285,516,505,315
976,478,354,615,670,316
943,490,330,616,501,317
456,210,193,362,364,318
339,250,208,253,408,319
149,103,98,125,175,320
751,419,278,464,444,321
542,283,209,359,370,322
672,459,274,415,391,323
95,89,88,94,165,324
50,50,50,50,91,325
728,497,293,444,518,326
440,258,176,272,291,327
509,353,215,282,378,328
752,408,297,457,557,329
680,395,267,417,493,330
101,91,72,75,132,331
576,383,236,346,352,332
583,304,231,363,416,333
657,398,261,400,437,334
