,global,direct,diffuse,reflectance,resolution,doy
0,894.50433,598.8663,295.63223,0.0058617266,1m,1
1,902.18787,604.83527,297.3467,0.0059107477,1m,2
2,910.5559,611.3435,299.20645,0.005964127,1m,3
3,919.60657,618.3912,301.20935,0.0060218517,1m,4
4,928.45905,626.01984,302.4331,0.0060884124,1m,5
5,938.99133,634.3112,304.67392,0.006155901,1m,6
6,950.2126,643.15955,307.04684,0.006227803,1m,7
7,962.1211,652.5658,309.54898,0.006304106,1m,8
8,974.7147,662.531,312.17734,0.0063847965,1m,9
9,987.99115,673.056,314.92868,0.0064698597,1m,10
10,1001.94794,684.1416,317.79974,0.0065592793,1m,11
11,1016.5821,695.7883,320.7871,0.006653036,1m,12
12,1031.8905,707.9966,323.8872,0.0067511103,1m,13
13,1047.8713,720.7707,327.09375,0.006853514,1m,14
14,1064.5245,734.1182,330.39932,0.0069602835,1m,15
15,1081.8401,748.0231,333.80997,0.007071256,1m,16
16,1099.8123,762.4839,337.32117,0.0071864002,1m,17
17,1118.435,777.4993,340.9285,0.007305684,1m,18
18,1137.7028,793.068,344.62732,0.0074290745,1m,19
19,1157.609,809.18823,348.41318,0.007556536,1m,20
20,1178.1475,825.8583,352.28146,0.0076880297,1m,21
21,1199.3113,843.07574,356.2277,0.007823516,1m,22
22,1221.0934,860.83795,360.24747,0.007962948,1m,23
23,1243.486,879.14154,364.3363,0.008106278,1m,24
24,1266.4807,897.98254,368.4899,0.008253452,1m,25
25,1301.9624,917.35645,384.5974,0.008479475,1m,26
26,1326.8296,937.25806,389.56293,0.0086385505,1m,27
27,1352.2825,957.68146,394.59222,0.00880136,1m,28
28,1378.3097,978.62006,399.6806,0.008967828,1m,29
29,1404.8993,1000.06665,404.82343,0.009137877,1m,30
30,1432.039,1022.0135,410.0161,0.009311427,1m,31
31,1418.406,923.37573,495.02112,0.009200553,1m,32
32,1446.3204,944.6693,501.64175,0.009379236,1m,33
33,1474.7443,966.4249,508.3098,0.009561165,1m,34
34,1507.7958,988.63403,519.15204,0.009746248,1m,35
35,1537.442,1011.2877,526.1444,0.009934391,1m,36
36,1567.5624,1034.3765,533.1757,0.010125496,1m,37
37,1598.1411,1057.8903,540.2404,0.010319464,1m,38
38,1629.1625,1081.8188,547.333,0.010516192,1m,39
39,1704.897,1150.7969,554.0892,0.011009113,1m,40
40,1738.6805,1177.4492,561.22015,0.011223345,1m,41
41,1772.902,1204.5276,568.363,0.011440299,1m,42
42,1820.1781,1232.0192,588.1471,0.011739599,1m,43
43,1856.3099,1259.9111,596.3869,0.011968521,1m,44
44,1892.8304,1288.19,604.62823,0.012199851,1m,45
45,1929.7203,1316.8422,612.8657,0.012433465,1m,46
46,1966.9602,1345.8536,621.0939,0.012669239,1m,47
47,2004.5305,1375.2103,629.3074,0.0129070515,1m,48
48,2042.4119,1404.8978,637.501,0.013146777,1m,49
49,2080.5845,1434.9015,645.6697,0.013388291,1m,50
50,2119.0288,1465.2067,653.80853,0.01363147,1m,51
51,2157.725,1495.7985,661.9127,0.013876187,1m,52
52,2196.6533,1526.6616,669.9776,0.014122318,1m,53
53,2235.7942,1557.7811,677.99866,0.014369739,1m,54
54,2275.1277,1589.1416,685.97144,0.014618325,1m,55
55,2314.6343,1620.7278,693.8918,0.014867953,1m,56
56,2354.2947,1652.524,701.75555,0.015118499,1m,57
57,2406.6418,1684.5153,722.1111,0.01544906,1m,58
58,2249.461,1517.6484,731.7982,0.014422996,1m,59
59,2255.6743,1379.0897,876.57025,0.014442725,1m,60
60,2292.2607,1404.7343,887.5117,0.014673797,1m,61
61,2328.863,1430.4862,898.36206,0.014904931,1m,62
62,2365.465,1456.3334,909.11664,0.015136022,1m,63
63,2402.0503,1482.2638,919.7711,0.015366965,1m,64
64,2438.602,1508.2651,930.3214,0.015597659,1m,65
65,2531.0576,1590.623,940.41833,0.016192708,1m,66
66,2570.8652,1620.102,950.74677,0.016444018,1m,67
67,2610.6724,1649.6958,960.95996,0.016695276,1m,68
68,2629.1777,1657.9714,971.1894,0.01680769,1m,69
69,2620.3118,1638.9178,981.377,0.01674392,1m,70
70,2656.3374,1665.095,991.2254,0.016971063,1m,71
71,2692.2234,1691.2604,1000.9459,0.017197287,1m,72
72,2740.6042,1717.4028,1023.1839,0.017502328,1m,73
73,2593.2732,1558.6428,1034.6139,0.016550465,1m,74
74,2627.261,1581.8234,1045.4208,0.016764639,1m,75
75,2805.8955,1750.1974,1055.6802,0.017908944,1m,76
76,2842.1995,1775.9885,1066.1927,0.018137647,1m,77
77,2878.28,1801.7079,1076.5538,0.018364906,1m,78
78,2914.125,1827.345,1086.7615,0.018590646,1m,79
79,2949.7222,1852.8896,1096.8137,0.018814787,1m,80
80,2985.0598,1878.3317,1106.7091,0.01903726,1m,81
81,3020.1265,1903.6611,1116.4462,0.019257993,1m,82
82,3054.9116,1928.8684,1126.0237,0.019476917,1m,83
83,3089.4043,1953.944,1135.4406,0.019693967,1m,84
84,3123.5942,1978.8784,1144.6959,0.019909078,1m,85
85,3157.472,2003.6627,1153.7891,0.020122191,1m,86
86,3202.685,2028.2881,1174.3765,0.020406814,1m,87
87,3237.3828,2052.7458,1184.6163,0.020625051,1m,88
88,3271.7266,2077.0276,1194.6781,0.020841025,1m,89
89,3305.7075,2101.125,1204.5614,0.021054687,1m,90
90,3435.6826,2253.6785,1181.9823,0.021884114,1m,91
91,3601.5256,2410.576,1190.9268,0.022940641,1m,92
92,3638.9602,2438.9868,1199.9502,0.02317589,1m,93
93,3509.1821,2300.0593,1209.1005,0.02234214,1m,94
94,3543.298,2325.5017,1217.7738,0.022556473,1m,95
95,3577.0056,2350.7087,1226.274,0.022768205,1m,96
96,3610.2979,2375.673,1234.6017,0.022977296,1m,97
97,3849.2612,2606.8013,1242.4357,0.024499875,1m,98
98,3769.9355,2519.3162,1250.5956,0.023990836,1m,99
99,3802.1184,2543.6838,1258.4103,0.024192844,1m,100
100,3681.9082,2415.6018,1266.2828,0.023422925,1m,101
101,3722.7446,2437.0957,1285.6251,0.023679597,1m,102
102,3752.6025,2458.3142,1294.2645,0.023866974,1m,103
103,3813.8044,2511.0437,1302.7366,0.024251597,1m,104
104,3844.316,2533.281,1311.0104,0.024443,1m,105
