WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
418,205,176,284,330,1
424,208,180,291,338,2
371,188,161,247,296,3
356,171,143,229,261,4
395,194,170,276,314,5
490,242,197,320,371,6
367,179,152,240,280,7
367,191,160,237,300,8
492,245,198,321,372,9
494,248,214,343,411,10
429,214,184,298,339,11
420,214,183,281,361,12
434,217,182,286,344,13
498,247,202,330,377,14
475,234,190,314,352,15
537,269,218,352,412,16
514,258,209,340,389,17
504,250,204,336,384,18
438,222,194,316,360,19
498,251,216,352,408,20
577,292,235,386,450,21
558,280,227,373,432,22
470,262,228,348,432,23
529,267,228,377,437,24
614,307,250,415,482,25
597,299,243,406,464,26
566,285,247,408,478,27
599,306,245,402,460,28
609,307,248,417,473,29
710,364,281,473,547,30
658,329,267,445,508,31
618,308,251,422,481,32
625,310,256,429,483,33
737,374,301,510,589,34
670,340,265,452,503,35
726,363,296,501,574,36
716,357,277,479,524,37
777,389,302,523,581,38
821,413,320,558,626,39
794,399,313,545,613,40
784,388,307,541,600,41
830,407,319,567,620,42
822,402,318,573,615,43
909,450,354,621,697,44
909,445,350,632,674,45
959,462,375,687,724,46
1008,490,400,744,774,47
1060,517,414,761,822,48
1007,494,398,740,780,49
1035,511,413,753,821,50
1102,541,435,820,872,51
996,481,395,733,772,52
1031,517,417,766,834,53
1197,581,458,874,905,54
1085,530,427,793,853,55
1101,545,438,839,860,56
1101,559,439,836,868,57
1143,578,459,875,915,58
1193,604,477,883,949,59
1123,580,460,850,925,60
1243,638,499,931,1012,61
1203,637,495,909,1007,62
1283,673,529,960,1083,63
1326,700,547,1012,1129,64
1178,616,484,910,979,65
1293,687,533,981,1118,66
1230,674,519,947,1076,67
1168,637,494,912,1025,68
1182,626,485,917,1004,69
1345,752,570,1013,1205,70
1392,779,592,1072,1269,71
1306,748,569,1008,1209,72
1395,794,621,1102,1334,73
1366,795,628,1102,1339,74
1355,807,624,1074,1339,75
1362,812,635,1104,1377,76
1333,801,623,1068,1346,77
1426,873,660,1142,1471,78
1360,836,657,1140,1459,79
1450,913,697,1184,1571,80
1436,934,694,1177,1578,81
1385,928,676,1134,1550,82
1481,968,731,1237,1682,83
1501,982,732,1233,1704,84
1477,964,739,1255,1702,85
1586,1078,787,1330,1840,86
1431,950,732,1244,1646,87
1555,1052,783,1327,1800,88
1629,1087,821,1405,1901,89
1576,1068,796,1350,1835,90
1542,1063,790,1357,1813,91
1646,1144,844,1441,1951,92
1630,1125,841,1433,1924,93
1499,1050,779,1315,1732,94
1568,1068,814,1403,1833,95
1595,1107,830,1445,1882,96
1710,1206,901,1559,2056,97
1683,1196,896,1542,2008,98
1671,1152,916,1635,2003,99
1644,1155,894,1548,1975,100
1688,1206,927,1615,2021,101
1823,1289,1002,1731,2194,102
1824,1282,1013,1763,2216,103
1851,1325,1033,1789,2250,104
1656,1199,933,1663,1956,105
1811,1313,1031,1833,2164,106
1807,1302,1041,1868,2159,107
1786,1310,1032,1844,2104,108
1799,1314,1064,1932,2115,109
1794,1326,1066,1944,2081,110
1755,1315,1071,1969,1991,111
1836,1350,1101,2009,2093,112
1798,1332,1084,1992,2044,113
1870,1378,1112,2030,2180,114
1790,1326,1086,1964,2134,115
1723,1268,1032,1818,2079,116
1853,1385,1116,1963,2235,117
1696,1259,1031,1791,2076,118
1748,1301,1052,1808,2135,119
1768,1341,1086,1893,2165,120
1821,1390,1125,1955,2243,121
1733,1348,1088,1925,2074,122
1709,1300,1073,1909,2076,123
1821,1393,1159,2019,2268,124
1772,1388,1142,1999,2196,125
1714,1330,1085,1882,2120,126
1762,1398,1151,1971,2172,127
1811,1422,1220,2043,2323,128
1862,1443,1230,2064,2389,129
1842,1440,1213,1972,2435,130
1812,1450,1216,1977,2344,131
1866,1483,1242,2014,2454,132
1910,1549,1304,2098,2518,133
1921,1562,1301,2056,2572,134
1890,1527,1281,2001,2526,135
1816,1458,1229,1927,2414,136
1823,1494,1236,1908,2437,137
1914,1539,1314,2051,2637,138
1914,1572,1340,2055,2617,139
1896,1544,1309,2003,2596,140
1894,1552,1334,2011,2605,141
1827,1495,1272,1915,2512,142
1865,1543,1308,1942,2551,143
1816,1503,1297,1931,2493,144
1872,1551,1310,1944,2586,145
1873,1538,1336,1998,2668,146
1802,1493,1285,1921,2525,147
1887,1576,1369,2019,2607,148
1855,1558,1338,1968,2586,149
1924,1601,1402,2070,2738,150
1888,1604,1380,2013,2632,151
1991,1695,1470,2134,2780,152
1807,1545,1359,1979,2504,153
1959,1637,1434,2109,2789,154
1788,1509,1339,1976,2536,155
1878,1581,1373,2015,2659,156
1872,1614,1394,2008,2603,157
1875,1604,1389,2013,2639,158
1892,1618,1422,2066,2684,159
1911,1641,1439,2074,2667,160
1951,1654,1449,2121,2792,161
1929,1667,1450,2092,2712,162
1902,1643,1417,2045,2692,163
1983,1688,1469,2136,2824,164
1883,1594,1396,2049,2675,165
1880,1630,1409,2016,2605,166
1910,1630,1427,2062,2696,167
1932,1675,1476,2113,2664,168
