WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
1951,1659,1463,2116,2772,169
1924,1668,1431,2041,2697,170
1878,1598,1409,2058,2675,171
1879,1611,1420,2046,2717,172
1995,1710,1496,2171,2881,173
1871,1595,1416,2074,2612,174
1935,1668,1433,2057,2686,175
1862,1601,1404,2039,2585,176
1952,1693,1502,2143,2645,177
1931,1663,1451,2092,2689,178
1979,1691,1482,2146,2778,179
1876,1597,1402,2045,2632,180
1817,1545,1340,1957,2521,181
1905,1626,1420,2066,2661,182
1996,1683,1478,2159,2808,183
1815,1548,1361,1998,2537,184
1863,1579,1396,2028,2568,185
1912,1617,1398,2033,2675,186
1933,1617,1417,2089,2730,187
2008,1714,1480,2143,2810,188
1845,1557,1333,1957,2598,189
1874,1569,1367,2013,2660,190
1914,1637,1409,2045,2650,191
1997,1693,1459,2131,2813,192
1868,1572,1372,2013,2604,193
1861,1568,1353,1979,2572,194
1809,1504,1309,1933,2516,195
1913,1592,1391,2069,2689,196
1944,1614,1377,2036,2739,197
1920,1600,1404,2070,2649,198
1903,1590,1369,2016,2621,199
1970,1655,1407,2059,2720,200
1934,1596,1390,2066,2697,201
1842,1519,1332,1990,2567,202
1973,1619,1383,2063,2755,203
1876,1539,1316,1969,2580,204
1907,1559,1334,2003,2626,205
1832,1487,1285,1952,2521,206
1876,1551,1283,1932,2516,207
1850,1473,1284,1970,2561,208
1925,1555,1325,2023,2606,209
1930,1566,1323,2022,2613,210
1851,1482,1280,1977,2472,211
1886,1514,1286,1985,2547,212
1905,1525,1266,1982,2529,213
1838,1487,1223,1912,2397,214
1852,1471,1211,1933,2430,215
1895,1530,1264,1994,2431,216
1848,1481,1221,1942,2346,217
1851,1457,1208,1973,2371,218
1750,1345,1130,1863,2251,219
1903,1458,1215,1982,2467,220
1772,1372,1132,1872,2229,221
1793,1362,1120,1863,2282,222
1821,1371,1144,1925,2289,223
1682,1285,1051,1784,2079,224
1818,1350,1122,1950,2280,225
1848,1380,1135,1935,2283,226
1907,1408,1154,1960,2385,227
1825,1344,1107,1926,2223,228
1724,1265,1047,1820,2103,229
1778,1314,1054,1828,2112,230
1828,1337,1093,1939,2184,231
1818,1325,1085,1957,2192,232
1815,1311,1073,1878,2182,233
1727,1259,1035,1827,2076,234
1789,1303,1046,1867,2105,235
1814,1294,1060,1954,2125,236
1746,1234,1009,1759,2072,237
1700,1201,980,1781,1974,238
1639,1161,951,1692,1929,239
1745,1230,995,1787,2054,240
1746,1235,993,1760,2061,241
1727,1217,973,1758,2007,242
1736,1211,969,1785,2003,243
1714,1178,959,1711,2012,244
1608,1115,892,1612,1840,245
1673,1160,919,1661,1911,246
1737,1193,946,1728,2000,247
1675,1164,929,1704,1924,248
1676,1130,906,1641,1937,249
1640,1112,881,1556,1890,250
1508,1029,772,1378,1665,251
1562,1035,805,1449,1764,252
1592,1065,818,1445,1807,253
1530,1009,787,1394,1725,254
1536,1016,796,1414,1741,255
1564,1039,797,1424,1788,256
1435,937,723,1274,1597,257
1530,992,761,1341,1716,258
1562,1024,783,1362,1770,259
1425,918,723,1262,1604,260
1545,1007,762,1316,1743,261
1530,1007,755,1289,1739,262
1371,906,686,1163,1544,263
1514,987,733,1243,1705,264
1440,921,697,1193,1618,265
1449,916,706,1190,1597,266
1405,888,676,1147,1524,267
1429,906,690,1169,1562,268
1360,849,649,1087,1446,269
1362,842,643,1095,1446,270
1388,860,660,1125,1480,271
1308,796,608,1044,1364,272
1370,821,634,1102,1428,273
1273,759,589,1013,1290,274
1314,779,600,1040,1319,275
1249,724,567,989,1233,276
1366,787,619,1068,1377,277
1235,716,556,959,1203,278
1195,692,517,876,1124,279
1304,735,574,1012,1251,280
1186,663,530,928,1125,281
1280,713,561,989,1195,282
1310,703,558,1010,1196,283
1177,645,499,884,1038,284
1212,649,520,925,1094,285
1160,611,477,847,996,286
1167,605,471,855,984,287
1105,571,446,813,913,288
1160,597,462,836,940,289
1170,593,461,843,923,290
1172,582,455,840,919,291
1148,568,447,831,904,292
1049,525,412,754,814,293
1024,514,405,732,809,294
1111,534,425,800,845,295
1079,520,410,754,807,296
990,485,384,696,753,297
908,452,369,664,734,298
1012,488,398,730,804,299
926,452,362,655,701,300
985,473,375,689,733,301
946,450,366,664,719,302
906,447,357,639,708,303
911,434,354,641,699,304
792,384,314,563,615,305
829,403,328,591,642,306
853,419,337,604,668,307
825,392,319,577,616,308
837,403,325,584,644,309
813,404,324,566,642,310
694,342,275,484,528,311
767,375,304,540,593,312
790,385,313,546,611,313
658,320,260,461,497,314
653,316,251,430,483,315
651,317,265,446,512,316
644,313,246,416,469,317
613,301,236,396,447,318
556,273,214,361,394,319
576,285,235,393,455,320
603,301,248,408,482,321
491,244,205,339,379,322
590,297,233,379,442,323
503,248,208,345,396,324
582,295,232,376,441,325
551,279,233,378,447,326
499,250,207,336,388,327
502,250,210,340,395,328
496,248,208,338,393,329
511,258,214,342,409,330
464,234,195,312,368,331
493,246,204,332,387,332
425,209,175,287,321,333
423,208,175,287,323,334
492,245,206,332,391,335
453,225,190,307,350,336
417,207,175,282,319,337
415,202,172,284,322,338
420,205,173,282,323,339
401,196,166,269,305,340
393,193,162,263,297,341
424,208,175,284,327,342
429,209,177,287,333,343
389,189,160,261,292,344
326,165,148,238,271,345
378,199,168,252,307,346
408,198,166,268,309,347
446,218,186,298,354,348
396,194,163,265,300,349
397,194,164,265,304,350
376,187,160,255,290,351
328,174,156,233,307,352
392,191,164,263,300,353
387,190,162,261,297,354
367,178,152,248,280,355
353,173,149,239,263,356
355,173,146,237,264,357
356,174,148,238,263,358
384,188,161,261,294,359
420,205,176,284,330,360
345,165,142,237,262,361
398,195,167,270,309,362
428,211,181,294,342,363
420,206,177,286,332,364
406,199,170,276,317,365
