GroundSurface,WallSurface_UUID_0aaf7b44-4fab-42b0-aaa7-380113caeea0,WallSurface_UUID_2ae98dca-a3b6-4890-a768-3bde754de4cb,WallSurface_UUID_1642fc1e-bbb4-49e9-b47d-881a3cf30be4,WallSurface_UUID_6e4f3933-7da7-446f-b8c2-6627879112b9,RoofSurface,doy
617.839,823.783,823.783,823.783,823.783,617.839,1
813.1469999999999,1084.193,1084.193,1084.193,1084.193,813.1469999999999,2
303.305,404.40500000000003,404.40500000000003,404.40500000000003,404.40500000000003,303.305,3
781.1899999999999,1041.586,1041.586,1041.586,1041.586,781.1899999999999,4
534.71,712.9459999999999,712.9459999999999,712.9459999999999,712.9459999999999,534.71,5
682.458,909.942,909.942,909.942,909.942,682.458,6
769.961,1026.615,1026.615,1026.615,1026.615,769.961,7
46.927,62.565999999999995,62.565999999999995,62.565999999999995,62.565999999999995,46.927,8
288.456,384.606,384.606,384.606,384.606,288.456,9
207.91199999999998,277.217,277.217,277.217,277.217,207.91199999999998,10
737.572,983.431,983.431,983.431,983.431,737.572,11
161.75400000000002,215.673,215.673,215.673,215.673,161.75400000000002,12
96.851,129.132,129.132,129.132,129.132,96.851,13
504.722,672.961,672.961,672.961,672.961,504.722,14
157.748,210.32899999999998,210.32899999999998,210.32899999999998,210.32899999999998,157.748,15
939.042,1252.053,1252.053,1252.053,1252.053,939.042,16
1034.9299999999998,1379.907,1379.907,1379.907,1379.907,1034.9299999999998,17
387.87,517.158,517.158,517.158,517.158,387.87,18
495.35699999999997,660.474,660.474,660.474,660.474,495.35699999999997,19
632.077,842.769,842.769,842.769,842.769,632.077,20
983.699,1311.599,1311.599,1311.599,1311.599,983.699,21
566.808,755.7439999999999,755.7439999999999,755.7439999999999,755.7439999999999,566.808,22
1149.969,1533.29,1533.29,1533.29,1533.29,1149.969,23
1075.959,1434.612,1434.612,1434.612,1434.612,1075.959,24
633.807,845.075,845.075,845.075,845.075,633.807,25
166.105,221.472,221.472,221.472,221.472,166.105,26
1139.5610000000001,1519.412,1519.412,1519.412,1519.412,1139.5610000000001,27
189.82399999999998,253.09500000000003,253.09500000000003,253.09500000000003,253.09500000000003,189.82399999999998,28
855.688,1140.917,1140.917,1140.917,1140.917,855.688,29
1378.672,1838.229,1838.229,1838.229,1838.229,1378.672,30
1187.238,1582.983,1582.983,1582.983,1582.983,1187.238,31
559.4449999999999,745.9259999999999,745.9259999999999,745.9259999999999,745.9259999999999,559.4449999999999,32
792.244,1056.3210000000001,1056.3210000000001,1056.3210000000001,1056.3210000000001,792.244,33
1373.853,1831.803,1831.803,1831.803,1831.803,1373.853,34
410.69899999999996,547.594,547.594,547.594,547.594,410.69899999999996,35
340.389,453.851,453.851,453.851,453.851,340.389,36
621.6899999999999,828.918,828.918,828.918,828.918,621.6899999999999,37
1282.1390000000001,1709.5149999999999,1709.5149999999999,1709.5149999999999,1709.5149999999999,1282.1390000000001,38
1445.386,1927.18,1927.18,1927.18,1927.18,1445.386,39
606.186,808.248,808.248,808.248,808.248,606.186,40
1291.3909999999998,1721.8519999999999,1721.8519999999999,1721.8519999999999,1721.8519999999999,1291.3909999999998,41
1715.685,2287.578,2287.578,2287.578,2287.578,1715.685,42
1236.8570000000002,1649.14,1649.14,1649.14,1649.14,1236.8570000000002,43
1784.187,2378.915,2378.915,2378.915,2378.915,1784.187,44
492.43,656.572,656.572,656.572,656.572,492.43,45
1749.573,2332.761,2332.761,2332.761,2332.761,1749.573,46
2252.943,3003.92,3003.92,3003.92,3003.92,2252.943,47
2330.279,3107.034,3107.034,3107.034,3107.034,2330.279,48
1608.7740000000001,2145.03,2145.03,2145.03,2145.03,1608.7740000000001,49
1886.19,2514.918,2514.918,2514.918,2514.918,1886.19,50
668.729,891.6370000000001,891.6370000000001,891.6370000000001,891.6370000000001,668.729,51
174.921,233.227,233.227,233.227,233.227,174.921,52
367.69,490.251,490.251,490.251,490.251,367.69,53
2151.719,2868.957,2868.957,2868.957,2868.957,2151.719,54
2394.211,3192.2799999999997,3192.2799999999997,3192.2799999999997,3192.2799999999997,2394.211,55
2359.3920000000003,3145.8529999999996,3145.8529999999996,3145.8529999999996,3145.8529999999996,2359.3920000000003,56
2332.6980000000003,3110.264,3110.264,3110.264,3110.264,2332.6980000000003,57
2732.421,3643.227,3643.227,3643.227,3643.227,2732.421,58
2864.9179999999997,3819.8889999999997,3819.8889999999997,3819.8889999999997,3819.8889999999997,2864.9179999999997,59
2325.569,3100.756,3100.756,3100.756,3100.756,2325.569,60
2214.764,2953.018,2953.018,2953.018,2953.018,2214.764,61
1332.546,1776.7240000000002,1776.7240000000002,1776.7240000000002,1776.7240000000002,1332.546,62
2291.049,3054.728,3054.728,3054.728,3054.728,2291.049,63
2347.7329999999997,3130.309,3130.309,3130.309,3130.309,2347.7329999999997,64
1834.864,2446.482,2446.482,2446.482,2446.482,1834.864,65
2364.672,3152.891,3152.891,3152.891,3152.891,2364.672,66
3233.867,4311.822,4311.822,4311.822,4311.822,3233.867,67
2441.373,3255.163,3255.163,3255.163,3255.163,2441.373,68
2869.261,3825.681,3825.681,3825.681,3825.681,2869.261,69
3228.342,4304.452,4304.452,4304.452,4304.452,3228.342,70
3457.7149999999997,4610.285,4610.285,4610.285,4610.285,3457.7149999999997,71
2336.589,3115.451,3115.451,3115.451,3115.451,2336.589,72
1629.078,2172.103,2172.103,2172.103,2172.103,1629.078,73
1583.384,2111.1749999999997,2111.1749999999997,2111.1749999999997,2111.1749999999997,1583.384,74
3232.755,4310.338,4310.338,4310.338,4310.338,3232.755,75
3493.823,4658.428,4658.428,4658.428,4658.428,3493.823,76
3660.3210000000004,4880.424000000001,4880.424000000001,4880.424000000001,4880.424000000001,3660.3210000000004,77
3056.965,4075.951,4075.951,4075.951,4075.951,3056.965,78
3570.107,4760.137000000001,4760.137000000001,4760.137000000001,4760.137000000001,3570.107,79
2030.037,2706.712,2706.712,2706.712,2706.712,2030.037,80
4166.393,5555.187,5555.187,5555.187,5555.187,4166.393,81
2823.5609999999997,3764.746,3764.746,3764.746,3764.746,2823.5609999999997,82
2783.792,3711.7210000000005,3711.7210000000005,3711.7210000000005,3711.7210000000005,2783.792,83
1363.301,1817.732,1817.732,1817.732,1817.732,1363.301,84
1700.9950000000001,2267.991,2267.991,2267.991,2267.991,1700.9950000000001,85
3031.222,4041.628,4041.628,4041.628,4041.628,3031.222,86
1141.863,1522.482,1522.482,1522.482,1522.482,1141.863,87
901.1139999999999,1201.48,1201.48,1201.48,1201.48,901.1139999999999,88
3936.515,5248.685,5248.685,5248.685,5248.685,3936.515,89
3792.92,5057.226,5057.226,5057.226,5057.226,3792.92,90
5081.486,6775.312,6775.312,6775.312,6775.312,5081.486,91
3528.27,4704.356,4704.356,4704.356,4704.356,3528.27,92
2707.399,3609.864,3609.864,3609.864,3609.864,2707.399,93
1907.67,2543.559,2543.559,2543.559,2543.559,1907.67,94
3044.346,4059.125,4059.125,4059.125,4059.125,3044.346,95
2002.809,2670.408,2670.408,2670.408,2670.408,2002.809,96
5083.071999999999,6777.423,6777.423,6777.423,6777.423,5083.071999999999,97
5190.245,6920.325,6920.325,6920.325,6920.325,5190.245,98
4945.357999999999,6593.807,6593.807,6593.807,6593.807,4945.357999999999,99
5671.54,7562.05,7562.05,7562.05,7562.05,5671.54,100
3226.782,4302.372,4302.372,4302.372,4302.372,3226.782,101
4514.138,6018.849,6018.849,6018.849,6018.849,4514.138,102
4737.899,6317.197,6317.197,6317.197,6317.197,4737.899,103
3959.294,5279.056,5279.056,5279.056,5279.056,3959.294,104
5449.512,7266.015,7266.015,7266.015,7266.015,5449.512,105
5864.569,7819.424,7819.424,7819.424,7819.424,5864.569,106
4760.943,6347.921,6347.921,6347.921,6347.921,4760.943,107
5919.469,7892.625,7892.625,7892.625,7892.625,5919.469,108
6137.996,8183.993000000001,8183.993000000001,8183.993000000001,8183.993000000001,6137.996,109
6263.015,8350.686,8350.686,8350.686,8350.686,6263.015,110
6380.555,8507.403,8507.403,8507.403,8507.403,6380.555,111
6333.8679999999995,8445.154,8445.154,8445.154,8445.154,6333.8679999999995,112
6156.509,8208.677,8208.677,8208.677,8208.677,6156.509,113
5549.68,7399.57,7399.57,7399.57,7399.57,5549.68,114
3859.103,5145.469,5145.469,5145.469,5145.469,3859.103,115
3522.889,4697.185,4697.185,4697.185,4697.185,3522.889,116
3228.77,4305.024,4305.024,4305.024,4305.024,3228.77,117
4416.026000000001,5888.032,5888.032,5888.032,5888.032,4416.026000000001,118
3797.5150000000003,5063.351,5063.351,5063.351,5063.351,3797.5150000000003,119
4095.728,5460.968,5460.968,5460.968,5460.968,4095.728,120
6067.41,8089.8769999999995,8089.8769999999995,8089.8769999999995,8089.8769999999995,6067.41,121
4701.715,6268.951999999999,6268.951999999999,6268.951999999999,6268.951999999999,4701.715,122
3159.553,4212.734,4212.734,4212.734,4212.734,3159.553,123
5227.407,6969.871999999999,6969.871999999999,6969.871999999999,6969.871999999999,5227.407,124
3284.797,4379.727,4379.727,4379.727,4379.727,3284.797,125
1829.901,2439.864,2439.864,2439.864,2439.864,1829.901,126
2945.906,3927.871,3927.871,3927.871,3927.871,2945.906,127
4245.439,5660.581999999999,5660.581999999999,5660.581999999999,5660.581999999999,4245.439,128
4739.92,6319.8910000000005,6319.8910000000005,6319.8910000000005,6319.8910000000005,4739.92,129
5396.8189999999995,7195.7570000000005,7195.7570000000005,7195.7570000000005,7195.7570000000005,5396.8189999999995,130
6331.298000000001,8441.729000000001,8441.729000000001,8441.729000000001,8441.729000000001,6331.298000000001,131
7394.178,9858.9,9858.9,9858.9,9858.9,7394.178,132
6186.778,8249.04,8249.04,8249.04,8249.04,6186.778,133
4603.504,6138.004,6138.004,6138.004,6138.004,4603.504,134
3014.888,4019.8469999999993,4019.8469999999993,4019.8469999999993,4019.8469999999993,3014.888,135
3704.13,4938.834,4938.834,4938.834,4938.834,3704.13,136
2509.713,3346.277,3346.277,3346.277,3346.277,2509.713,137
5760.119,7680.155,7680.155,7680.155,7680.155,5760.119,138
5368.563,7158.08,7158.08,7158.08,7158.08,5368.563,139
5426.682000000001,7235.576,7235.576,7235.576,7235.576,5426.682000000001,140
5286.933999999999,7049.24,7049.24,7049.24,7049.24,5286.933999999999,141
