WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
508.179,228.172,185.046,297.621,351.1,1
544.555,233.195,188.63,309.787,366.537,2
490.562,211.005,170.564,277.214,321.512,3
442.338,191.653,151.792,244.221,281.156,4
535.103,217.53,178.031,303.286,346.835,5
646.699,271.301,207.714,352.521,407.422,6
462.129,201.409,160.29,255.133,302.089,7
481.784,214.55,170.311,265.816,322.078,8
674.956,272.728,208.832,357.339,415.377,9
702.294,278.294,225.643,391.559,459.216,10
597.859,239.743,193.996,329.172,380.395,11
512.253,222.72,177.844,282.366,338.588,12
622.463,268.026,218.101,360.914,429.09,13
626.237,273.814,210.23,350.727,408.541,14
635.336,260.516,200.033,350.726,389.853,15
740.512,300.68,228.511,398.464,459.224,16
687.537,288.333,218.789,367.895,432.655,17
644.108,277.221,213.792,357.841,419.138,18
597.67,246.524,202.658,352.286,397.615,19
644.699,275.777,225.339,381.291,441.477,20
779.971,321.287,246.635,424.718,499.246,21
703.33,312.14,240.368,405.119,465.736,22
559.736,284.646,237.896,362.936,454.324,23
693.032,311.49,257.864,442.059,493.523,24
861.624,344.662,265.636,480.348,543.707,25
843.308,348.727,272.049,488.275,547.637,26
714.315,317.737,261.741,440.034,513.81,27
848.2,346.397,259.826,456.688,524.667,28
824.938,345.597,263.373,468.049,531.528,29
1001.193,429.246,316.605,558.487,653.531,30
992.349,393.093,302.5,556.595,633.399,31
760.472,347.617,266.182,455.869,523.131,32
867.901,353.244,270.405,481.888,556.695,33
1033.164,444.476,342.716,620.724,709.395,34
882.534,400.85,296.522,520.103,596.176,35
996.193,431.101,334.32,584.678,693.372,36
1057.291,429.223,315.584,601.12,667.619,37
1126.524,469.626,346.905,651.636,737.885,38
1177.413,497.603,364.84,675.629,783.94,39
1073.543,477.441,357.818,639.266,751.247,40
1091.179,471.961,351.76,642.865,750.39,41
1200.645,498.104,365.219,682.744,802.605,42
1208.581,495.637,367.072,696.65,807.425,43
1294.348,554.769,403.59,722.254,897.532,44
1368.807,565.352,404.11,773.039,913.94,45
1351.51,550.105,401.829,788.28,906.109,46
1455.295,585.003,426.376,853.026,979.907,47
1434.782,616.138,441.926,869.082,998.994,48
1380.418,588.971,424.306,827.092,959.16,49
1311.348,591.329,436.001,802.487,966.29,50
1432.227,632.649,463.019,910.694,1041.415,51
1301.078,579.701,420.38,812.638,936.526,52
1305.357,604.588,443.831,833.66,974.348,53
1681.03,710.523,494.936,1015.252,1174.887,54
1447.915,644.702,459.529,900.193,1050.747,55
1577.411,681.629,470.631,968.283,1117.756,56
1529.44,664.308,472.316,945.385,1106.763,57
1642.332,731.473,518.119,1054.947,1211.68,58
1680.238,748.334,511.538,999.711,1228.16,59
1658.497,730.409,545.925,1133.656,1283.722,60
1522.404,723.781,514.656,990.832,1179.27,61
1763.134,807.388,563.938,1115.937,1342.243,62
1677.458,808.264,558.009,1082.459,1300.564,63
1837.914,848.952,596.652,1166.336,1435.311,64
1914.301,891.448,616.085,1218.475,1502.31,65
1725.815,784.107,548.395,1125.15,1328.297,66
1814.827,850.307,604.782,1196.331,1454.082,67
1808.563,862.953,589.54,1156.371,1436.977,68
1734.54,811.559,563.419,1140.641,1383.092,69
1855.363,808.355,558.403,1224.571,1430.694,70
1989.934,957.582,649.564,1260.01,1613.273,71
2166.16,997.688,678.163,1381.172,1750.944,72
1983.764,951.012,652.906,1313.157,1631.942,73
2034.243,981.141,670.17,1304.444,1691.306,74
1911.75,954.687,672.212,1281.868,1640.533,75
1893.391,976.408,672.96,1248.18,1635.132,76
1875.921,984.032,681.732,1294.762,1647.175,77
1859.453,955.083,668.761,1287.607,1630.318,78
2230.168,1080.008,715.921,1427.93,1904.62,79
2065.77,1020.721,709.493,1438.062,1819.842,80
2261.194,1124.155,749.499,1526.837,1984.406,81
2262.039,1164.576,754.663,1504.607,1999.272,82
2411.557,1172.839,738.983,1594.954,2075.678,83
2483.284,1212.839,821.948,1731.174,2233.796,84
2486.114,1229.467,826.101,1744.189,2244.443,85
2385.482,1199.977,828.383,1706.926,2211.818,86
2782.066,1365.066,895.483,1967.955,2549.135,87
2171.655,1175.867,818.084,1631.848,2084.297,88
2435.367,1321.225,877.706,1760.053,2331.61,89
2615.646,1360.796,928.128,1898.68,2522.654,90
2547.123,1344.94,902.114,1840.633,2455.403,91
2566.04,1357.946,902.9,1921.213,2490.314,92
2776.636,1465.14,968.323,2072.956,2719.054,93
2587.742,1404.482,954.29,1928.139,2601.427,94
2176.147,1328.164,878.458,1656.953,2223.342,95
2420.279,1350.618,922.32,1901.769,2473.383,96
2561.438,1420.892,951.519,2003.936,2614.941,97
2854.427,1572.468,1037.486,2228.164,2948.153,98
2679.651,1552.077,1024.42,2101.897,2813.531,99
2677.532,1455.184,1004.282,2227.967,2824.135,100
2534.657,1467.883,975.846,1989.777,2693.287,101
2586.315,1539.801,1008.263,2104.555,2784.258,102
2699.605,1624.245,1095.593,2234.938,2964.022,103
2667.43,1648.605,1108.371,2233.068,2979.495,104
2755.657,1719.147,1133.192,2270.793,3089.608,105
2685.912,1600.512,1030.871,2271.719,2959.269,106
2964.179,1745.915,1141.267,2447.863,3312.611,107
2956.386,1757.153,1148.126,2479.287,3344.833,108
2922.764,1778.139,1143.224,2455.041,3322.847,109
3054.813,1835.36,1217.151,2684.505,3537.024,110
3118.202,1878.375,1229.675,2738.274,3628.223,111
3230.797,1924.499,1244.19,2817.874,3772.865,112
3146.89,1924.627,1268.064,2728.946,3723.601,113
3104.585,1881.961,1253.741,2780.473,3705.835,114
3038.989,1884.628,1279.234,2703.831,3673.557,115
2744.787,1749.359,1232.948,2548.077,3365.049,116
2489.237,1663.92,1128.471,2233.264,3047.842,117
2788.118,1875.519,1264.907,2482.971,3464.4,118
2371.185,1619.282,1163.967,2254.5,2978.457,119
2505.327,1741.018,1155.308,2199.791,3137.685,120
2604.594,1819.804,1193.543,2355.092,3296.491,121
2797.897,1972.972,1293.626,2538.566,3597.415,122
2843.572,1890.241,1264.877,2722.302,3680.33,123
2703.726,1812.187,1247.676,2664.408,3534.044,124
2893.284,2006.255,1344.443,2730.234,3819.035,125
2844.443,1992.526,1335.477,2780.351,3793.616,126
2658.432,1818.806,1259.069,2634.556,3548.618,127
2908.71,2029.125,1349.997,2805.503,3913.58,128
2805.043,1931.877,1358.036,2740.487,3801.056,129
2843.878,1944.434,1370.411,2786.099,3875.77,130
2549.821,1921.785,1333.493,2482.526,3502.268,131
2747.24,2012.806,1357.602,2681.573,3796.06,132
2712.322,1995.258,1389.72,2757.965,3791.403,133
2896.601,2130.479,1468.684,2985.639,4102.431,134
2777.15,2160.813,1454.919,2740.573,3940.457,135
2744.11,2093.237,1425.262,2632.734,3874.887,136
2630.297,1982.328,1372.488,2604.166,3724.474,137
2628.271,2074.16,1377.612,2545.751,3745.441,138
2688.194,2050.98,1468.324,2837.751,3908.146,139
2800.12,2164.605,1506.138,2893.191,4095.591,140
2764.8,2074.991,1485.437,2934.634,4066.449,141
2777.73,2190.897,1492.046,2825.608,4104.229,142
2646.476,2054.305,1426.99,2716.164,3904.571,143
2749.788,2157.118,1472.58,2796.893,4079.124,144
2725.766,2116.696,1478.928,2923.485,4089.713,145
2693.446,2138.747,1482.117,2730.271,4016.158,146
2584.1,1990.564,1494.681,2854.087,3890.887,147
2558.898,2018.888,1451.338,2831.505,3887.904,148
2836.12,2299.087,1554.506,2946.891,4338.24,149
2687.469,2165.082,1514.758,2809.049,4086.314,150
2780.14,2176.066,1587.945,3075.488,4291.493,151
2795.452,2318.337,1575.389,2984.309,4330.309,152
3035.062,2462.888,1683.431,3188.305,4727.638,153
2813.902,2243.562,1599.938,3081.718,4404.996,154
2842.99,2225.351,1622.064,3047.288,4410.905,155
2612.052,2061.331,1512.5,2864.186,4101.423,156
2683.501,2218.5,1585.103,2789.333,4161.616,157
2813.832,2293.675,1590.408,3019.452,4424.707,158
2729.356,2221.378,1584.978,2970.153,4298.879,159
2719.549,2294.042,1608.939,2959.551,4294.753,160
2882.781,2376.081,1686.326,3096.439,4566.697,161
2794.883,2273.276,1640.356,3102.34,4452.147,162
2854.387,2373.666,1699.802,3138.765,4552.186,163
2716.942,2310.9,1658.975,2990.302,4321.994,164
2843.567,2320.437,1718.477,3115.296,4519.809,165
2640.303,2206.177,1586.625,2903.564,4201.529,166
2765.823,2328.289,1606.054,2931.931,4397.847,167
2738.192,2279.655,1679.336,3071.277,4380.118,168
2958.004,2384.235,1750.471,3348.314,4780.959,169
2752.366,2246.921,1632.698,2893.204,4342.072,170
2680.732,2317.189,1625.574,2894.594,4267.452,171
2572.164,2113.119,1585.352,2841.078,4059.801,172
2409.769,2045.473,1594.813,2802.366,3823.701,173
2623.62,2238.944,1680.076,2999.755,4200.327,174
2690.063,2247.692,1663.542,3073.435,4333.871,175
2730.286,2249.402,1638.263,3079.451,4374.349,176
2646.637,2246.29,1603.384,2989.459,4252.794,177
2988.147,2491.347,1723.345,3273.298,4824.82,178
2784.299,2350.068,1646.939,2952.012,4436.802,179
2796.427,2379.424,1679.785,3085.373,4485.35,180
2615.271,2201.932,1583.882,2906.988,4158.209,181
2548.189,2145.559,1559.124,2863.192,4057.384,182
2715.91,2348.105,1646.083,2949.4,4331.372,183
2807.939,2333.631,1682.669,3180.169,4499.597,184
2553.371,2096.264,1551.421,2941.911,4053.48,185
2714.725,2184.597,1581.237,2943.897,4259.344,186
2670.612,2205.642,1577.812,2806.636,4149.392,187
2662.097,2178.325,1593.769,2976.751,4188.588,188
2875.579,2343.472,1703.553,3168.765,4527.897,189
2478.931,2074.389,1491.305,2626.11,3804.182,190
2527.472,2066.805,1521.788,2729.422,3892.434,191
2776.544,2181.341,1587.769,2975.603,4288.238,192
2812.987,2325.022,1645.777,3026.884,4376.562,193
2686.135,2155.134,1536.379,2878.528,4144.134,194
2689.905,2204.656,1512.728,2769.848,4114.015,195
2536.801,2027.099,1458.303,2674.148,3836.465,196
2704.656,2225.537,1564.642,2928.722,4151.967,197
2658.462,2194.25,1541.164,2807.586,4026.864,198
2885.214,2273.051,1582.757,3007.129,4378.989,199
2839.767,2239.219,1546.508,2967.087,4278.832,200
2912.917,2284.699,1586.964,3072.995,4390.959,201
2835.303,2207.487,1559.13,3009.891,4253.709,202
2713.965,2068.868,1490.315,2895.027,4046.664,203
2797.703,2211.927,1537.202,2826.501,4127.063,204
2742.782,2131.104,1463.034,2715.577,4012.652,205
2813.482,2152.982,1492.552,2923.556,4142.931,206
2691.655,2020.115,1431.463,2797.913,3921.072,207
2905.893,2167.182,1498.477,2894.75,4197.762,208
2606.925,1941.534,1407.401,2637.553,3725.879,209
2850.816,2125.611,1468.51,2746.304,4045.897,210
2848.043,2182.785,1468.564,2771.05,4044.829,211
2842.076,2054.717,1431.109,2809.673,4003.654,212
2722.217,2078.597,1413.345,2641.4,3811.17,213
2867.442,2093.61,1408.341,2761.585,3984.53,214
2887.326,2097.522,1421.246,2787.477,3988.941,215
2795.329,2062.162,1404.704,2751.782,3861.343,216
3106.78,2172.812,1472.293,2976.326,4237.473,217
3055.938,2127.653,1422.147,2874.104,4124.189,218
2980.526,2052.91,1404.841,2916.091,4022.694,219
2634.732,1854.609,1291.687,2518.247,3507.697,220
2846.526,2021.336,1380.435,2649.784,3780.476,221
2745.022,1884.912,1252.718,2513.747,3567.189,222
2623.189,1849.931,1270.767,2499.051,3423.959,223
2819.823,1901.489,1300.994,2591.518,3644.544,224
2546.907,1753.853,1160.608,2357.697,3235.116,225
2719.926,1793.903,1279.839,2696.73,3496.283,226
2826.877,1863.385,1252.277,2542.281,3553.405,227
2769.429,1868.21,1271.098,2436.982,3472.831,228
2789.635,1783.067,1221.136,2543.383,3443.029,229
2577.838,1690.997,1148.62,2300.305,3156.067,230
2717.494,1796.404,1161.568,2327.862,3272.84,231
2812.876,1784.576,1202.147,2468.89,3377.38,232
2657.192,1713.295,1183.885,2430.093,3200.713,233
2625.752,1668.41,1167.312,2287.055,3119.209,234
2474.812,1599.334,1115.33,2204.142,2922.421,235
2764.021,1753.875,1149.734,2323.748,3201.648,236
2861.751,1715.445,1163.321,2515.643,3298.647,237
2598.026,1595.408,1095.726,2085.44,2958.862,238
2570.411,1539.221,1064.471,2185.814,2891.246,239
2333.2,1434.82,1020.629,2031.187,2631.093,240
2560.365,1568.243,1075.723,2201.264,2870.975,241
2600.745,1633.775,1075.169,2158.599,2894.995,242
2663.603,1609.127,1057.746,2209.7,2909.548,243
2750.954,1569.809,1061.295,2265.179,2967.159,244
2452.631,1434.16,1029.989,2025.406,2686.378,245
2490.004,1431.13,970.796,1995.021,2630.637,246
2684.015,1507.654,1003.378,2123.064,2797.892,247
2741.516,1546.197,1030.874,2166.888,2853.275,248
2908.389,1555.135,1022.203,2222.858,2957.939,249
2659.077,1458.505,986.627,2072.135,2721.543,250
2471.305,1389.809,958.979,1897.482,2531.177,251
2376.651,1314.178,884.419,1819.453,2373.617,252
2530.856,1346.26,922.66,1925.241,2517.478,253
2447.173,1350.984,928.939,1826.512,2443.969,254
2333.72,1270.822,896.8,1781.392,2320.35,255
2423.433,1283.685,897.397,1843.943,2372.121,256
2612.558,1369.845,907.958,1879.794,2501.902,257
2293.971,1191.839,819.735,1703.549,2174.381,258
2487.739,1248.301,865.215,1814.573,2338.8,259
2541.621,1295.059,885.552,1840.138,2384.247,260
2152.549,1126.419,817.602,1644.161,2051.722,261
2556.675,1278.44,862.106,1771.653,2338.497,262
2557.471,1272.311,859.035,1785.279,2323.672,263
2173.131,1122.291,772.808,1530.865,1982.292,264
2443.343,1230.091,831.332,1660.269,2194.274,265
2368.51,1135.788,758.14,1561.912,2054.527,266
2127.533,1089.501,758.959,1451.942,1914.263,267
2181.108,1090.888,756.913,1498.423,1924.94,268
2270.159,1106.227,748.232,1540.649,1956.192,269
2001.48,1010.871,698.965,1315.495,1735.665,270
2117.232,1026.767,693.636,1368.941,1784.893,271
2108.249,1040.565,711.11,1373.329,1797.058,272
1996.039,971.435,657.148,1278.728,1660.296,273
2162.164,1002.303,685.924,1418.488,1771.614,274
1888.22,888.765,633.906,1238.297,1567.459,275
1940.269,937.338,646.252,1296.473,1590.605,276
1720.393,830.698,604.918,1166.377,1438.805,277
2002.952,949.397,664.737,1280.813,1646.46,278
1740.196,862.119,594.138,1118.402,1414.499,279
1712.276,861.637,588.185,1058.204,1389.342,280
1904.718,861.865,616.333,1217.63,1516.774,281
1646.394,788.603,564.257,1054.746,1324.897,282
1870.919,860.731,598.787,1165.633,1458.358,283
1994.597,859.181,604.773,1235.192,1511.105,284
1785.057,797.542,536.326,1068.322,1312.628,285
1714.495,790.741,554.092,1063.642,1317.678,286
1717.062,765.464,545.256,1053.888,1299.325,287
1707.897,758.113,537.132,1053.972,1280.121,288
1646.213,722.179,510.243,1004.371,1211.495,289
1724.762,757.6,526.906,1041.086,1257.804,290
1767.025,759.506,528.183,1069.414,1263.288,291
1771.588,758.448,523.803,1047.672,1263.006,292
1629.275,719.568,510.582,1003.618,1188.543,293
1420.061,649.13,467.141,897.209,1042.607,294
1299.693,614.275,431.673,781.585,956.931,295
1553.837,672.457,484.557,949.454,1117.036,296
1478.813,651.388,463.151,866.878,1057.442,297
1274.515,577.257,408.79,750.229,904.159,298
1103.343,521.746,390.647,694.178,830.032,299
1284.815,571.765,424.096,785.048,940.296,300
1258.444,559.973,404.163,756.584,882.384,301
1358.803,580.56,419.21,809.354,933.412,302
1236.663,529.414,390.221,726.847,859.905,303
1125.256,516.314,380.535,675.632,807.752,304
1210.881,515.457,378.174,692.174,832.122,305
984.486,445.689,333.355,596.804,697.293,306
1045.758,465.164,346.624,641.375,728.117,307
1058.095,478.17,357.747,643.433,748.695,308
1117.627,453.555,339.377,644.162,733.766,309
1067.5,454.434,344.845,625.763,737.661,310
996.22,457.657,340.426,596.293,709.745,311
828.94,384.165,288.328,504.049,576.603,312
983.176,425.601,320.505,581.471,669.006,313
1017.955,434.061,328.898,587.568,691.347,314
821.84,356.309,273.562,497.836,551.611,315
812.367,356.829,264.149,454.48,537.322,316
841.528,354.07,277.34,480.741,572.484,317
841.496,354.908,284.899,495.976,580.842,318
837.733,361.022,271.5,461.33,550.882,319
768.299,326.603,246.6,435.164,488.443,320
709.5,316.352,249.129,415.204,491.375,321
843.876,359.244,285.714,481.646,581.537,322
688.129,292.791,234.106,400.813,458.71,323
824.017,352.24,265.973,459.177,531.508,324
673.721,295.967,238.809,400.63,467.016,325
782.852,330.848,245.617,415.014,490.912,326
796.81,333.849,268.112,457.172,540.791,327
683.158,296.214,236.711,398.231,458.578,328
659.017,278.786,220.802,365.945,432.144,329
665.458,277.992,219.704,370.683,431.551,330
550.066,260.271,221.939,336.648,434.788,331
541.716,255.968,204.428,312.027,389.583,332
673.959,273.714,216.349,370.092,427.313,333
583.364,247.733,200.464,338.618,378.822,334
556.389,245.458,199.701,333.834,375.886,335
642.444,270.561,216.681,365.867,424.427,336
537.696,243.659,195.721,303.819,374.591,337
514.43,240.982,196.416,307.272,364.421,338
550.948,242.265,197.577,329.577,372.83,339
547.863,241.748,195.622,323.613,372.214,340
498.715,214.585,171.858,281.861,327.686,341
492.765,210.831,168.966,280.369,320.711,342
545.408,229.982,182.96,301.01,355.014,343
544.058,232.122,185.976,305.278,361.139,344
523.995,210.133,167.404,289.705,323.35,345
403.067,181.706,156.044,250.165,291.438,346
405.382,192.828,150.149,212.257,283.371,347
