,global,direct,diffuse,resolution,doy
134,9396.339,4493.968,4902.371,1m,135
135,9427.418,4514.4165,4913.0005,1m,136
136,9457.674,4534.367,4923.3076,1m,137
137,9490.162,4557.799,4932.363,1m,138
138,9519.157,4577.1504,4942.007,1m,139
139,9547.346,4596.0044,4951.3413,1m,140
140,9096.557,4369.7876,4726.769,1m,141
141,9122.146,4386.824,4735.3228,1m,142
142,9146.976,4403.387,4743.5884,1m,143
143,9172.369,4419.4707,4752.8984,1m,144
144,9195.762,4435.0728,4760.689,1m,145
145,9218.389,4450.1885,4768.1997,1m,146
146,9240.246,4464.8135,4775.4326,1m,147
147,9262.731,4478.9443,4783.787,1m,148
148,9283.144,4492.5796,4790.565,1m,149
149,9307.598,4512.931,4794.6675,1m,150
150,9326.816,4525.971,4800.8457,1m,151
151,9490.048,4601.0938,4888.953,1m,152
152,9507.79,4613.219,4894.571,1m,153
153,9524.752,4624.8213,4899.9307,1m,154
154,9540.932,4635.8945,4905.0376,1m,155
155,9556.328,4646.4355,4909.8916,1m,156
156,9570.937,4656.44,4914.4966,1m,157
157,9584.756,4665.903,4918.8535,1m,158
158,9597.788,4674.8223,4922.9653,1m,159
159,9610.027,4683.1934,4926.834,1m,160
160,9621.474,4691.0127,4930.4604,1m,161
161,9634.036,4700.2974,4933.739,1m,162
162,9643.959,4707.066,4936.8926,1m,163
163,9653.071,4713.263,4939.8086,1m,164
164,9755.553,4718.885,5036.667,1m,165
165,9763.78,4723.929,5039.8506,1m,166
166,9771.122,4728.3926,5042.73,1m,167
167,9777.578,4732.2715,5045.3066,1m,168
168,9780.968,4733.3145,5047.653,1m,169
169,9785.645,4736.024,5049.6206,1m,170
170,9789.44,4738.152,5051.288,1m,171
171,9792.347,4739.695,5052.652,1m,172
172,9794.361,4740.6484,5053.713,1m,173
173,9795.482,4741.013,5054.469,1m,174
174,9795.706,4740.7856,5054.92,1m,175
175,9795.028,4739.964,5055.0645,1m,176
176,9793.447,4738.5464,5054.9014,1m,177
177,9790.958,4736.5283,5054.4297,1m,178
178,9787.556,4733.911,5053.6445,1m,179
179,9783.238,4730.692,5052.5464,1m,180
180,9778.0,4726.8677,5051.132,1m,181
181,9771.837,4722.4395,5049.3984,1m,182
182,9764.746,4717.4043,5047.342,1m,183
183,9756.722,4711.7607,5044.961,1m,184
184,9747.76,4705.508,5042.252,1m,185
185,9737.8545,4698.646,5039.209,1m,186
186,9727.005,4691.1743,5035.8306,1m,187
187,9621.334,4683.09,4938.244,1m,188
188,9609.457,4674.3945,4935.0625,1m,189
189,9596.699,4665.09,4931.6084,1m,190
190,9583.052,4655.1724,4927.88,1m,191
191,9568.516,4644.644,4923.871,1m,192
192,9553.083,4633.505,4919.578,1m,193
193,9536.755,4621.7573,4914.997,1m,194
194,9518.196,4609.4,4908.797,1m,195
195,9500.144,4596.4375,4903.7065,1m,196
196,9481.184,4582.8687,4898.316,1m,197
197,9461.312,4568.696,4892.6157,1m,198
198,9440.527,4553.923,4886.604,1m,199
199,9418.823,4538.552,4880.271,1m,200
200,9396.196,4522.584,4873.612,1m,201
201,9372.643,4506.0234,4866.6196,1m,202
202,9348.16,4488.8745,4859.2856,1m,203
203,9317.477,4464.781,4852.696,1m,204
204,9291.628,4446.939,4844.689,1m,205
205,9264.832,4428.5146,4836.318,1m,206
206,9237.084,4409.5103,4827.574,1m,207
207,9207.009,4388.1187,4818.89,1m,208
208,9177.614,4368.2417,4809.373,1m,209
209,9147.237,4347.779,4799.459,1m,210
210,9115.871,4326.733,4789.138,1m,211
211,9083.511,4305.1074,4778.403,1m,212
212,8630.615,4107.2007,4523.414,1m,213
213,8596.697,4084.987,4511.71,1m,214
214,8561.794,4062.2239,4499.571,1m,215
215,8445.326,4038.915,4406.41,1m,216
216,8409.96,4015.0676,4394.892,1m,217
217,8375.004,3990.6863,4384.3174,1m,218
218,8772.555,4179.2627,4593.2915,1m,219
219,8734.297,4152.6113,4581.686,1m,220
220,8695.103,4125.4272,4569.675,1m,221
221,8653.777,4097.7197,4556.0576,1m,222
222,8612.877,4069.4966,4543.38,1m,223
223,8571.039,4040.7686,4530.2705,1m,224
224,8528.263,4011.5442,4516.719,1m,225
225,8484.547,3981.8333,4502.714,1m,226
226,8439.89,3951.6453,4488.244,1m,227
227,8394.293,3920.9922,4473.301,1m,228
228,8347.752,3889.8813,4457.8706,1m,229
229,8300.268,3858.322,4441.9453,1m,230
230,8251.834,3826.3198,4425.5137,1m,231
231,8122.5796,3792.9878,4329.5913,1m,232
232,8075.877,3760.4543,4315.423,1m,233
233,8028.2993,3727.4763,4300.823,1m,234
234,7978.583,3694.0657,4284.517,1m,235
235,7929.4116,3660.2368,4269.175,1m,236
236,7878.281,3626.003,4252.278,1m,237
237,7827.5913,3591.3782,4236.2134,1m,238
238,7776.0474,3556.379,4219.6685,1m,239
239,7723.65,3521.0183,4202.6313,1m,240
240,7670.4053,3485.3118,4185.0938,1m,241
241,7616.319,3449.2747,4167.044,1m,242
242,7561.3926,3412.9202,4148.4727,1m,243
243,9246.038,4063.3816,5182.6567,1m,244
244,9186.193,4021.9407,5164.2534,1m,245
245,9435.205,4162.799,5272.4062,1m,246
246,9375.752,4118.841,5256.9106,1m,247
247,9316.549,4073.9746,5242.5747,1m,248
248,9255.751,4029.8606,5225.8906,1m,249
249,9192.686,3985.3784,5207.3066,1m,250
250,9130.23,3940.5496,5189.681,1m,251
251,9066.878,3895.3975,5171.4805,1m,252
252,9002.634,3849.943,5152.6904,1m,253
253,8936.14,3804.2104,5131.929,1m,254
254,8870.239,3758.2207,5112.018,1m,255
255,8803.459,3711.9956,5091.464,1m,256
256,8735.801,3665.5508,5070.25,1m,257
257,8667.255,3618.8972,5048.3574,1m,258
258,8463.513,3572.087,4891.4253,1m,259
259,8399.338,3524.2234,4875.1143,1m,260
260,8334.024,3477.7249,4856.2993,1m,261
261,8267.959,3431.0256,4836.9326,1m,262
262,8199.83,3384.1506,4815.6797,1m,263
263,8132.4595,3337.1257,4795.334,1m,264
264,8064.375,3289.9773,4774.398,1m,265
265,7995.588,3242.7312,4752.857,1m,266
266,7926.111,3195.413,4730.6978,1m,267
267,8192.574,3254.2725,4938.3022,1m,268
268,8118.2803,3204.7502,4913.53,1m,269
269,8043.285,3155.2168,4888.0684,1m,270
270,7967.5903,3105.685,4861.9053,1m,271
271,7760.592,3054.9846,4705.6074,1m,272
272,7689.502,3006.2273,4683.275,1m,273
273,7464.1113,2903.2026,4560.9087,1m,274
274,7390.722,2854.9873,4535.7354,1m,275
275,7318.4316,2806.8293,4511.6025,1m,276
276,7245.6416,2758.7573,4486.885,1m,277
277,7172.3735,2710.7983,4461.575,1m,278
278,7098.6465,2662.9805,4435.666,1m,279
279,7024.48,2615.3298,4409.15,1m,280
280,6949.8936,2567.872,4382.0215,1m,281
281,6874.9033,2520.629,4354.2744,1m,282
282,6799.5234,2473.6182,4325.9053,1m,283
283,6599.4434,2425.2314,4174.212,1m,284
284,6528.7856,2379.4158,4149.37,1m,285
285,6457.844,2333.8213,4124.023,1m,286
286,6386.6426,2288.4734,4098.1694,1m,287
287,6313.728,2243.4001,4070.3276,1m,288
288,6240.8105,2198.6257,4042.1848,1m,289
289,6169.2656,2154.1785,4015.0872,1m,290
290,6276.1978,2139.9321,4136.2656,1m,291
291,6199.604,2094.5703,4105.033,1m,292
292,6122.855,2049.638,4073.2168,1m,293
293,6045.978,2005.1589,4040.819,1m,294
294,5968.997,1961.1549,4007.842,1m,295
295,5891.939,1917.6451,3974.294,1m,296
296,5692.4497,1874.6471,3817.8025,1m,297
297,5619.7617,1832.2003,3787.5618,1m,298
298,5422.7266,1789.5356,3633.191,1m,299
299,5354.462,1748.6921,3605.77,1m,300
300,3376.5396,982.67,2393.8694,1m,301
301,3327.4304,957.5311,2369.8992,1m,302
302,3279.0376,933.05493,2345.9827,1m,303
303,3231.3928,909.2482,2322.1448,1m,304
304,3183.1309,886.1167,2297.0142,1m,305
305,3137.1875,863.665,2273.5227,1m,306
306,3090.7468,841.8968,2248.85,1m,307
307,3046.652,820.8151,2225.837,1m,308
308,3003.457,800.4216,2203.0356,1m,309
309,2961.1914,780.717,2180.4746,1m,310
310,2919.8855,761.7011,2158.1843,1m,311
311,2879.5688,743.3729,2136.1958,1m,312
312,2751.3325,725.72986,2025.6025,1m,313
313,2629.7126,706.7594,1922.9532,1m,314
314,2597.199,690.82513,1906.3739,1m,315
315,2565.6616,675.53406,1890.1276,1m,316
316,2535.1228,660.88403,1874.239,1m,317
317,2505.6055,646.8729,1858.7324,1m,318
318,2477.1309,633.49805,1843.6329,1m,319
319,3422.788,855.85864,2566.9297,1m,320
320,3392.8804,840.6588,2552.2214,1m,321
321,3364.1863,826.21735,2537.969,1m,322
322,3336.7336,812.53455,2524.199,1m,323
323,3310.5579,799.61774,2510.9402,1m,324
324,3284.1997,787.4568,2496.743,1m,325
325,3260.7007,776.05023,2484.6506,1m,326
326,3238.543,765.3961,2473.147,1m,327
327,3217.7493,755.4924,2462.2568,1m,328
328,3198.3428,746.3368,2452.006,1m,329
329,3180.3447,737.92773,2442.4172,1m,330
330,3019.1743,730.2626,2288.9119,1m,331
331,3005.8015,723.33936,2282.4622,1m,332
332,2993.817,717.1565,2276.6604,1m,333
333,2983.2324,711.7119,2271.5205,1m,334
334,2974.0598,707.00433,2267.0554,1m,335
335,2966.3074,703.0325,2263.275,1m,336
336,2959.984,699.7955,2260.1882,1m,337
337,2955.096,697.29254,2257.8035,1m,338
338,2951.65,695.5237,2256.1262,1m,339
339,2948.761,691.4176,2257.3433,1m,340
340,2948.3633,691.29596,2257.0671,1m,341
341,2949.3965,691.8878,2257.5085,1m,342
342,2951.8716,693.2053,2258.6663,1m,343
343,2955.7751,695.23785,2260.5374,1m,344
344,2961.1067,697.9888,2263.118,1m,345
345,2967.8623,701.4604,2266.402,1m,346
346,2976.0361,705.65497,2270.381,1m,347
347,2985.6213,710.57513,2275.0464,1m,348
348,2996.61,716.22375,2280.3865,1m,349
349,3008.9927,722.6037,2286.3892,1m,350
350,0.0,0.0,0.0,1m,351
351,0.0,0.0,0.0,1m,352
352,0.0,0.0,0.0,1m,353
353,0.0,0.0,0.0,1m,354
354,0.0,0.0,0.0,1m,355
355,0.0,0.0,0.0,1m,356
356,0.0,0.0,0.0,1m,357
357,0.0,0.0,0.0,1m,358
358,0.0,0.0,0.0,1m,359
359,0.0,0.0,0.0,1m,360
360,0.0,0.0,0.0,1m,361
361,0.0,0.0,0.0,1m,362
362,0.0,0.0,0.0,1m,363
363,0.0,0.0,0.0,1m,364
364,0.0,0.0,0.0,1m,365
